"SPCD","DIVISION","STDORGCD","equation","a","a0","b","b0","b1","c"
11,,,1,1.767896986243,,2.375511274077,,,-0.440089360033
12,"210",,1,2.499595466341,,2.70237696932,,,-0.609498391941
12,,,1,2.480510018864,,2.780354375543,,,-0.655208294018
15,"M260",,1,0.000319109263,,0.708305088365,,,2.652928181799
15,,,1,0.153048772437,,2.054800964678,,,0.36406405756
16,,,1,1.767896986243,,2.538687396271,,,-0.440089360033
17,,,1,1.767896986243,,2.57944081653,,,-0.440089360033
19,,,1,3.602922008493,,3.483213478965,,,-1.134599534183
20,,,1,1.767896986243,,2.455354719183,,,-0.440089360033
68,,,1,40.637385292922,,3.208073935345,,,-1.822117031702
71,"210",,1,21.642173431435,,2.998147615212,,,-1.37868449779
71,,,1,89.821412768674,,2.998440851124,,,-1.702958595053
73,,,1,40.637385292922,,3.208074019362,,,-1.822117031702
93,"M330",,1,3.077431492428,,2.655568993647,,,-0.61101638611
93,,,1,3.357410195462,,2.687974266376,,,-0.65374480111
94,"210",,1,5.682407325323,,2.518946065232,,,-0.736092657214
94,,,1,5.938962914972,,2.517562437553,,,-0.748338064019
95,"210",,1,2.190442162286,,3.261325454976,,,-0.846370744677
95,,,1,2.190442162286,,3.261325454976,,,-0.846370744677
97,,,1,3.18069690303,,2.790777213774,,,-0.722447255272
98,,,1,3.18069690303,,2.79077511205,,,-0.722447255272
105,"210",,1,1.335397651991,,3.179300991069,,,-0.745237308464
105,,,1,1.335397651991,,3.179300991069,,,-0.745237308464
108,"M330",,1,10.278315172654,,3.467024094772,,,-1.401401964113
108,,,1,13.581102200389,,3.166978211861,,,-1.312080923122
110,"230",,1,0.768432033028,,3.985480604385,,,-1.164906102228
110,"M230",,1,2.409938449816,,3.670518764578,,,-1.26679784608
110,,,1,0.652240998069,,3.962110402576,,,-1.117194052242
111,"230",0,1,0.858432090597,,3.748201042703,,,-1.095286702643
111,,0,1,0.858432090597,,3.748201042703,,,-1.095286702643
111,"230",1,1,2.142727069816,,3.381493444719,,,-0.971240972342
111,,1,1,2.142727069816,,3.381493444719,,,-0.971240972342
116,,,1,2.177600402397,,3.270319266767,,,-0.966812486165
121,"230",,1,1.377818698865,,3.612612683215,,,-1.024318690374
121,,,1,1.377818698865,,3.612612683215,,,-1.024318690374
122,"M260",,1,0.310460138432,,2.948000576004,,,-0.270055096739
122,"M310",,1,0.952443008953,,3.282512866084,,,-0.821331779443
122,"M330",,1,1.856855287744,,2.424659528249,,,-0.402509507217
122,,,1,1.033539089041,,2.9966833619,,,-0.628170258353
123,,,1,2.177600402397,,3.375344252247,,,-0.966812486165
125,"210",,1,4.893214352207,,3.243713350382,,,-1.158985684503
125,,,1,4.164266420365,,3.259358497736,,,-1.132436577275
126,,,1,2.177600402397,,3.385066033844,,,-0.966812486165
129,"210",,1,4.745112692025,,3.288200185937,,,-1.189935766647
129,"M220",,1,34.345672606734,,3.406583265301,,,-1.651412382593
129,,,1,4.945637293966,,3.215726191233,,,-1.128810156362
131,"230",0,1,0.612149319777,,3.174475139615,,,-0.655518923061
131,,0,1,0.53576877826,,3.173277659532,,,-0.625507895752
131,"230",1,2,,1.79722355085,,2.573761479826,3.24315453119,-0.612092190851
131,,1,2,,1.79722355085,,2.573761479826,3.24315453119,-0.612092190851
132,"M220",,1,5.527036308374,,2.998114064219,,,-0.943857532103
132,,,1,4.920019510032,,3.058501805947,,,-0.941924709635
202,"240",,1,9.521330809106,,1.762316117442,,,-0.40574259177
202,"M240",,1,6.516255149421,,2.235367369605,,,-0.593040428867
