"SPCD","DIVISION","STDORGCD","equation","a","a0","a1","b","b0","b1","b2","c","c1"
10,"M240",,1,0.002105266484,,,1.646091311583,,,,1.244413373089,
10,,,1,0.001955587471,,,1.65054670606,,,,1.256038073241,
11,"240",,4,0.001314136053,,,2.037385803745,,,0.014090669076,1.156702494049,
11,"M210",,4,0.001025611113,,,2.022202393085,,,0.013420959991,1.212441339909,
11,"M240",,4,0.002106225531,,,1.825077968325,,,0.003283115843,1.144819079712,
11,,,4,0.002022902568,,,1.844885666898,,,0.004062689106,1.143651071898,
12,"130",,2,,0.00411636416,,,1.997786964888,1.883244116508,,0.872349267959,
12,"210",,2,,0.002286976934,,,1.873151281428,1.589354735548,,1.088031230326,
12,"220",,2,,0.003473652672,,,1.979336137495,1.53215131686,,0.930889614127,
12,"M210",,2,,0.003441041225,,,2.08550873885,1.794777906575,,0.882612878508,
12,,,2,,0.003256399135,,,1.931516072399,1.783286998642,,0.967436664318,
15,"M260",,1,0.001779047938,,,1.684069848042,,,,1.253314769722,
15,"M310",,1,0.005906791175,,,1.892653871606,,,,0.803067572545,
15,"M330",,1,0.00232465249,,,1.709973345055,,,,1.171636864086,
15,,,1,0.001814676926,,,1.61725362066,,,,1.284112390795,
16,,,1,0.002401760586,,,1.890612134972,,,,1.085865387336,
17,,,1,0.002506211746,,,1.612819191158,,,,1.215027357107,
18,,,1,0.002401760586,,,1.817644440809,,,,1.085865387336,
19,"M130",,2,,0.001634352179,,,1.732571670436,1.683309149647,,1.233341675656,
19,"M210",,2,,0.002100712019,,,1.675751008045,1.746979096237,,1.199543174943,
19,"M240",,2,,0.001112761462,,,1.506559646228,1.540586028863,,1.450721622964,
19,"M330",,2,,0.002130274803,,,1.870862119515,1.745591353582,,1.091486421374,
19,,,2,,0.002075425867,,,1.710841251795,1.758231750579,,1.180918783933,
20,"M260",,1,0.002088050851,,,1.748667994416,,,,1.171822966683,
20,,,1,0.002091936942,,,1.760055687745,,,,1.164393455853,
42,"M240",,1,0.00478272255,,,1.902390807912,,,,0.89283111897,
42,,,1,0.004765815031,,,1.904044760972,,,,0.892448553593,
43,"230",,2,,0.001314920937,,,1.80477482636,1.467690305433,,1.26628275754,
43,,,2,,0.001314920937,,,1.80477482636,1.467690305433,,1.26628275754,
68,"220",,2,,0.003563439418,,,1.847806809651,1.550725595334,,1.009488024268,
68,"230",,2,,0.002343559816,,,1.901522462611,1.881085501193,,1.073171228946,
68,"250",,2,,0.004316450047,,,1.817732752851,1.54255483905,,0.975870253174,
68,,,2,,0.003655100789,,,1.877328983154,1.724682223732,,0.979761822192,
71,"130",,2,,0.002928899961,,,1.884167216196,1.830747480437,,0.996152270592,
71,"210",,2,,0.002363170883,,,1.740952976286,1.661712629106,,1.138337566406,
71,"M130",,2,,0.001314030214,,,1.71440385101,1.559860863206,,1.277668517677,
71,"M210",,2,,0.001077559273,,,1.810852260195,1.632453099884,,1.247804983284,
71,"M330",,2,,0.002466809328,,,2.05723798414,1.747497577495,,0.935116617852,
71,,,2,,0.003337274951,,,2.076380058237,1.718831196521,,0.870308518774,
73,,,1,0.003805829418,,,1.745228173037,,,,1.004542140106,
81,"M260",,1,0.003602549214,,,1.647778388534,,,,1.06592054137,
81,,,1,0.003602549214,,,1.647778388534,,,,1.06592054137,
90,"130",,4,0.002206547374,,,2.034324492366,,,0.01617144027,1.03493603429,
90,"M130",,4,0.001590525923,,,1.831495103801,,,0.006044958396,1.184669479076,
90,"M210",,4,0.001292676436,,,1.901372999895,,,0.011681871851,1.210613951773,
90,"M330",,4,0.000692235106,,,1.924058350834,,,0.013813751734,1.343102034745,
90,,,4,0.001359241238,,,1.876480244686,,,0.009562427631,1.207913331605,
91,"210",,2,,0.002221498129,,,1.909883425458,1.762413575808,,1.098984879583,
91,,,2,,0.002221498129,,,1.909883425458,1.762413575808,,1.098984879583,
93,"M130",,4,0.000969821021,,,2.00027538404,,,0.015967746027,1.226887667689,
93,"M210",,4,0.001719605997,,,1.824534231727,,,0.003627455618,1.16833412922,
93,"M240",,4,0.00156899614,,,1.955379241588,,,0.00507465157,1.106631832902,
93,"M330",,4,0.002122801787,,,1.847377307853,,,0.006760461705,1.121644312443,
93,"M340",,4,0.001550132961,,,1.768834395691,,,0.006072620247,1.256850411863,
93,,,4,0.00186381867,,,1.847299390496,,,0.003263280371,1.134537295794,
94,"130",,4,0.002199396814,,,1.931048845311,,,0.007812732827,1.067838362493,
94,"210",,4,0.00216835063,,,1.886029997986,,,0.00013948235,1.094006838817,
94,"220",,4,0.002237806191,,,2.318239457508,,,0.049273620143,0.975157306757,
94,"M130",,4,0.0028033337,,,1.804703839489,,,-0.007055569413,1.035663194942,
94,,,4,0.002275203205,,,1.97447881346,,,0.01023018448,1.042932158228,
95,"130",,2,,0.002562647342,,,1.968702692902,1.894349233158,,1.004527266558,
95,"210",,2,,0.002317146042,,,1.862338391665,1.893127276349,,1.088914626959,
95,"M130",,2,,0.003002177441,,,1.833525183188,1.428601354506,,1.02645435533,
95,,,2,,0.002537257282,,,1.944862218846,1.894822780989,,1.01980282519,
96,,,1,0.002529243907,,,1.867546802819,,,,1.067509648814,
97,"130",,2,,0.004414532725,,,2.038946661021,1.794791812953,,0.855116324205,
97,"210",,2,,0.004826864107,,,2.013044775582,1.952442366652,,0.844278003865,
97,"M210",,2,,0.004364511374,,,1.992816099419,2.005057214293,,0.878014732274,
97,,,2,,0.004787208677,,,2.008719787134,1.974915359986,,0.847621627171,
98,"M240",,1,0.002837429418,,,1.810551218069,,,,1.07563872874,
98,,,1,0.002837429418,,,1.810551218069,,,,1.07563872874,
