"alpha","beta","SPCD_DIVISION","SPCD","JENKINS_SPGRPCD"
2.10619925821819,0.870932057366437,"1_111 230",NA,NA
2.19661793710341,0.92215276257024,"1_131 230",NA,NA
2.14743138922261,0.92746923761292,"10 M240",NA,NA
2.13839378198242,0.967382549637033,"100 130",NA,NA
2.16969848696172,0.940791478561582,"100 M210",NA,NA
2.19674055505354,0.964476283928145,"105 130",NA,NA
2.28082898871039,0.943948493420941,"105 210",NA,NA
2.19625000010196,0.95421850052565,"105 220",NA,NA
2.15875023166686,0.94127586830537,"107 230",NA,NA
2.03238371039334,0.953157192360947,"108 130",NA,NA
2.14885684355907,0.94619650204378,"108 330",NA,NA
2.03792928798913,0.959221478021343,"108 M130",NA,NA
2.06318222134515,0.945642560492269,"108 M210",NA,NA
2.06908436115722,0.96039731259697,"108 M240",NA,NA
2.11338312891832,0.943498570530009,"108 M330",NA,NA
2.20827361223862,0.969713769708681,"11 240",NA,NA
2.10563104217837,0.94773203246422,"11 M210",NA,NA
2.10372211870479,0.922323443851229,"11 M240",NA,NA
1.99938403801565,0.951978620375534,"110 220",NA,NA
2.06348056202504,0.903307383996169,"110 230",NA,NA
2.02755706417282,0.956767155702485,"110 250",NA,NA
2.05417445359691,0.972942125004492,"110 M220",NA,NA
2.08138303175377,0.973004480512636,"110 M230",NA,NA
2.03234009098825,0.830535356694928,"111 230",NA,NA
2.23288608745641,0.953885350449501,"115 230",NA,NA
2.3228642421488,0.945783196464823,"117 M260",NA,NA
2.11225204417136,0.899273863970539,"119 M240",NA,NA
2.15924484736872,0.887945974584666,"119 M330",NA,NA
2.34362791797329,0.976862365943717,"12 130",NA,NA
2.29345922136794,0.92598145905939,"12 210",NA,NA
2.33976314986738,0.880076727578273,"12 220",NA,NA
2.29314824008957,0.910626442372872,"12 M210",NA,NA
2.14202473966063,0.920872846331446,"121 230",NA,NA
2.28714303983591,0.983927249761224,"122 310",NA,NA
2.18709323442173,0.93998981201133,"122 330",NA,NA
2.12024212182499,0.916981432301251,"122 M210",NA,NA
2.20579177143763,0.894068294475205,"122 M240",NA,NA
2.19944668913249,0.918288927186991,"122 M260",NA,NA
2.24809628618568,0.988523729540484,"122 M310",NA,NA
2.20343551756416,0.965697399150679,"122 M330",NA,NA
2.26989477750574,1.03945146319458,"122 M340",NA,NA
2.00368420980197,0.920521368671651,"123 M220",NA,NA
2.05964398989587,0.945199814552802,"125 130",NA,NA
2.0899894461591,0.951732342292584,"125 210",NA,NA
2.18614335603699,0.944974774912696,"125 220",NA,NA
2.10174699937637,0.944050805768972,"126 M220",NA,NA
2.04759306630523,0.885362758158204,"128 230",NA,NA
2.18804990492314,0.952763252276967,"129 130",NA,NA
2.15405761004842,0.934068069755112,"129 210",NA,NA
2.19145729366551,0.942973892218442,"129 220",NA,NA
2.26830807534074,0.881276267093702,"129 230",NA,NA
2.54263154656881,0.948027240013741,"129 M210",NA,NA
2.33214298630064,0.93541481375992,"129 M220",NA,NA
2.1579072724256,0.905613330665484,"131 220",NA,NA
2.0840274041494,0.889929918597288,"131 230",NA,NA
2.21732650730099,0.957679952219119,"131 M230",NA,NA
2.04852390037039,0.891226048164582,"132 220",NA,NA
2.05632518585935,0.884986639884934,"132 230",NA,NA
2.1081141681219,0.907721443085337,"132 M220",NA,NA
2.23202898493081,0.952379680492291,"15 M260",NA,NA
2.22097393644309,0.897105203926443,"15 M310",NA,NA
2.30357974641776,0.953014153303216,"15 M330",NA,NA
2.32011097354544,0.944196194575685,"19 M130",NA,NA
2.26922845075601,0.943631733971959,"19 M210",NA,NA
2.24718894338922,0.926334580474927,"19 M240",NA,NA
2.37513573733856,0.940106386790507,"19 M330",NA,NA
2.27653376459597,0.921498809368197,"20 M260",NA,NA
2.26611707768649,0.948763758244143,"202 130",NA,NA
2.22071717402781,0.952239003325936,"202 240",NA,NA
