"DCLASS","variable","STATUSCD","CRM","CRM2","DIFF","PDIFF","VAR2"
2,"BIOMASS",1,953582982429.752,1104604828777.63,151021846347.879,15.8373051040689,"Total aboveground biomass"
2,"CARBON",1,476791526621.507,529470837726.32,52679311104.8124,11.0487095855273,"Total aboveground carbon"
2,"BIOMASS",2,36761154083.4613,40693005153.8537,3931851070.39246,10.6956682085272,"Total aboveground biomass"
2,"CARBON",2,18380578351.9122,19618057547.7523,1237479195.84013,6.73253676868874,"Total aboveground carbon"
4,"BIOMASS",1,1960894202038.24,2338021803166.29,377127601128.051,19.2324298137068,"Total aboveground biomass"
4,"CARBON",1,980447114427.09,1124513882165.22,144066767738.125,14.6939866126597,"Total aboveground carbon"
4,"BIOMASS",2,78535510897.151,83069632525.437,4534121628.28606,5.77333944414506,"Total aboveground biomass"
4,"CARBON",2,39267756002.6194,40173304106.1816,905548103.562248,2.30608569407899,"Total aboveground carbon"
6,"BIOMASS",1,3654106056322.6,4495497399621.31,841391343298.712,23.0259146924013,"Total aboveground biomass"
6,"CARBON",1,1827053035873.36,2172384542273.09,345331506399.725,18.9010116082728,"Total aboveground carbon"
6,"VMERIB",1,77447231585.5269,77394104938.9107,-53126646.6162109,-0.0685972184267708,"Merchantable wood volume"
6,"WMERBCH",1,858794533716.142,1562829340645.02,704034806928.878,81.9794233997283,"Top and limb weight"
6,"WMEROB",1,2560933947574.03,2660780918901.86,99846971327.8301,3.89884992630969,"Merch bole wood and bark weight"
6,"WSTPOB",1,234367191719.919,271855665751.574,37488474031.6556,15.9956151526773,"Stump wood and bark weight"
6,"BIOMASS",2,209214873878.442,357522454068.663,148307580190.221,70.8876847237881,"Total aboveground biomass"
6,"CARBON",2,104607437732.903,174594307903.661,69986870170.7582,66.9042963746592,"Total aboveground carbon"
6,"VMERIB",2,6473120232.40641,6698472672.69408,225352440.287671,3.48135724653295,"Merchantable wood volume"
6,"WMERBCH",2,27085381893.7587,102161302204.701,75075920310.9428,277.18243222645,"Top and limb weight"
6,"WMEROB",2,165142898020.577,230951309709.586,65808411689.0096,39.8493743768563,"Merch bole wood and bark weight"
6,"WSTPOB",2,16986593964.1067,24409842154.3751,7423248190.26838,43.7006277182699,"Stump wood and bark weight"
8,"BIOMASS",1,5359960598275.89,6016679328973.8,656718730697.913,12.2523051924889,"Total aboveground biomass"
8,"CARBON",1,2679980304178.93,2912006994176.93,232026689998,8.6577759409723,"Total aboveground carbon"
8,"VMERIB",1,120184093551.24,123143851393.854,2959757842.61429,2.4626868291455,"Merchantable wood volume"
8,"WMERBCH",1,1076168102727.47,1539855624646.04,463687521918.57,43.0869044290933,"Top and limb weight"
8,"WMEROB",1,3982232353614.44,4171677475236.82,189445121622.384,4.75725936610493,"Merch bole wood and bark weight"
8,"WSTPOB",1,301560141933.984,305146229090.944,3586087156.96002,1.18917809693334,"Stump wood and bark weight"
8,"BIOMASS",2,314194691809.014,480621550752.425,166426858943.411,52.9693413931305,"Total aboveground biomass"
8,"CARBON",2,157097346430.849,235453845303.751,78356498872.9017,49.8776718086659,"Total aboveground carbon"
8,"VMERIB",2,10108226208.7005,10489555035.5525,381328826.851997,3.77246036029324,"Merchantable wood volume"
8,"WMERBCH",2,35311545030.0202,101981727659.675,66670182629.6543,188.805623126868,"Top and limb weight"
8,"WMEROB",2,257375879538.258,350913183924.296,93537304386.0385,36.3426846967354,"Merch bole wood and bark weight"
8,"WSTPOB",2,21507267240.7361,27726639168.4542,6219371927.71811,28.9175368404696,"Stump wood and bark weight"
10,"BIOMASS",1,6270191691011.52,6883550233087.9,613358542076.386,9.7821338214532,"Total aboveground biomass"
10,"CARBON",1,3135095848744.46,3333220937218.81,198125088474.35,6.3195863231325,"Total aboveground carbon"
10,"VMERIB",1,143976267869.825,148305643337.396,4329375467.57114,3.00700631543353,"Merchantable wood volume"
10,"VSAWIB",1,58217970150.0897,54149994835.4089,-4067975314.68085,-6.98749081115907,"Sawlog wood volume"
10,"WMERBCH",1,1146331579120.96,1578844104562.7,432512525441.739,37.7301413761455,"Top and limb weight"
10,"WMEROB",1,4805905042720.9,4999690568638.62,193785525917.726,4.03223792803057,"Merch bole wood and bark weight"
10,"WSTPOB",1,317955069169.661,305015559886.581,-12939509283.0799,-4.06960307846999,"Stump wood and bark weight"
10,"BIOMASS",2,354113980194.021,521510192870.939,167396212676.918,47.2718452361583,"Total aboveground biomass"
10,"CARBON",2,177056990431.421,255852563502.229,78795573070.8084,44.5029438706788,"Total aboveground carbon"
10,"VMERIB",2,11586296093.3079,11889366457.0061,303070363.698189,2.61576573960714,"Merchantable wood volume"
10,"WMERBCH",2,36788885432.3627,101159486420.137,64370600987.7747,174.972957813907,"Top and limb weight"
