"FIAR","variable","STATUSCD","CRM","CRM2","DIFF","PDIFF","VAR2"
"Northern","BIOMASS",1,17431072433922.6,20325191910263.9,2894119476341.37,16.6032209854692,"Total aboveground biomass"
"Northern","CARBON",1,8715536232334.92,9804785971261.75,1089249738926.82,12.4977937087298,"Total aboveground carbon"
"Northern","VMERIB",1,372812523398.839,389736238597.439,16923715198.6004,4.539470682023,"Merchantable wood volume"
"Northern","WMERBCH",1,3105580425812.2,5493969316474.48,2388388890662.27,76.9063609111858,"Top and limb weight"
"Northern","WMEROB",1,13035215226817.4,13426663734447.3,391448507629.918,3.00300762832508,"Merch bole wood and bark weight"
"Northern","WSTPOB",1,736539173132.204,729410162786.319,-7129010345.88525,-0.967906474759305,"Stump wood and bark weight"
"Northern","VSAWIB",1,202659014946.816,217061170125.527,14402155178.7115,7.10659487933024,"Sawlog wood volume"
"Northern","BIOMASS",2,243863170319.332,418654705726.657,174791535407.324,71.6760694853755,"Total aboveground biomass"
"Northern","CARBON",2,121931586214.258,202498979325.994,80567393111.7366,66.0759001118578,"Total aboveground carbon"
"Northern","VMERIB",2,6144744033.28864,8601355741.17904,2456611707.8904,39.9790730839544,"Merchantable wood volume"
"Northern","WMERBCH",2,20870517390.586,55526452723.0889,34655935332.5029,166.052114012924,"Top and limb weight"
"Northern","WMEROB",2,158441119433.678,288044871785.033,129603752351.355,81.799316247324,"Merch bole wood and bark weight"
"Northern","WSTPOB",2,13347785085.0304,21884099832.1635,8536314747.13314,63.9530430910717,"Stump wood and bark weight"
"Pacific NW","BIOMASS",1,13453958509441.6,14083293893128.4,629335383686.848,4.67769677783085,"Total aboveground biomass"
"Pacific NW","CARBON",1,6726979264350.46,7091112166449.5,364132902099.038,5.41302251411352,"Total aboveground carbon"
"Pacific NW","VMERIB",1,352621081117.969,348109225397.285,-4511855720.68402,-1.27951956428112,"Merchantable wood volume"
"Pacific NW","VSAWIB",1,316959406544.524,305181032282.077,-11778374262.4476,-3.7160513363067,"Sawlog wood volume"
"Pacific NW","WMERBCH",1,1851512238258.84,2550342297020.43,698830058761.589,37.7437450491156,"Top and limb weight"
"Pacific NW","WMEROB",1,10775648011883.3,10766429115571.5,-9218896311.86719,-0.0855530572425957,"Merch bole wood and bark weight"
"Pacific NW","WSTPOB",1,492037352638.059,400448730006.562,-91588622631.4963,-18.6141605185956,"Stump wood and bark weight"
"Pacific NW","BIOMASS",2,1130629619913.02,1556950716453.17,426321096540.146,37.7065211304957,"Total aboveground biomass"
"Pacific NW","CARBON",2,565314810743.461,780971882253.509,215657071510.049,38.1481375353376,"Total aboveground carbon"
"Pacific NW","VMERIB",2,40503781511.2678,39336479811.6524,-1167301699.61533,-2.88195732857832,"Merchantable wood volume"
"Pacific NW","WMERBCH",2,85988434089.8059,184404181071.627,98415746981.8208,114.452307480138,"Top and limb weight"
"Pacific NW","WMEROB",2,972162922481.158,1285842475101.44,313679552620.28,32.2661505974437,"Merch bole wood and bark weight"
"Pacific NW","WSTPOB",2,58428554479.7232,72419291961.1176,13990737481.3944,23.945034420199,"Stump wood and bark weight"
"Rocky Mountain","BIOMASS",1,5592791086143.42,6429419696767.62,836628610624.204,14.9590534982974,"Total aboveground biomass"
"Rocky Mountain","CARBON",1,2796395552087.27,3200934890547.31,404539338460.037,14.466456226412,"Total aboveground carbon"
"Rocky Mountain","VMERIB",1,155947702198.19,151291893454.708,-4655808743.48203,-2.98549364809817,"Merchantable wood volume"
"Rocky Mountain","VSAWIB",1,114762563240.456,112492767692.068,-2269795548.38863,-1.97781879760984,"Sawlog wood volume"
"Rocky Mountain","WMERBCH",1,767794866870.842,1588748831982,820953965111.158,106.92360688174,"Top and limb weight"
"Rocky Mountain","WMEROB",1,4315146231013.16,4279527445977.27,-35618785035.8989,-0.825436338168681,"Merch bole wood and bark weight"
"Rocky Mountain","WSTPOB",1,219435983800.582,208979859867.803,-10456123932.7789,-4.76499968313365,"Stump wood and bark weight"
"Rocky Mountain","BIOMASS",2,1324811254444.38,1874640434957.41,549829180513.034,41.5024539283244,"Total aboveground biomass"
"Rocky Mountain","CARBON",2,662405628450.677,928425755609.661,266020127158.984,40.1597021120106,"Total aboveground carbon"
"Rocky Mountain","VMERIB",2,44898373873.7415,44636529580.5115,-261844293.230003,-0.583193266567592,"Merchantable wood volume"
"Rocky Mountain","WMERBCH",2,129409848335.146,468616939092.976,339207090757.83,262.118451664783,"Top and limb weight"
"Rocky Mountain","WMEROB",2,1116424076370.68,1318346911829.17,201922835458.487,18.086571199262,"Merch bole wood and bark weight"
"Rocky Mountain","WSTPOB",2,64857890101.1989,71349957865.0393,6492067763.84042,10.0096807862709,"Stump wood and bark weight"
"Southern","BIOMASS",1,20960765138330.4,23881794846115.2,2921029707784.82,13.9357017194149,"Total aboveground biomass"
"Southern","CARBON",1,10480382605692.1,11363393557494.5,883010951802.346,8.42536942613873,"Total aboveground carbon"
"Southern","VMERIB",1,414308764297.076,427439874237.826,13131109940.7497,3.16940192250776,"Merchantable wood volume"
"Southern","VSAWIB",1,235803886768.428,241525967331.105,5722080562.6767,2.42662690640722,"Sawlog wood volume"
"Southern","WMERBCH",1,3301909849902.67,5359459119605.29,2057549269702.61,62.3139141658656,"Top and limb weight"
"Southern","WMEROB",1,15011600961356,15546704597436.6,535103636080.674,3.56460072085702,"Merch bole wood and bark weight"
"Southern","WSTPOB",1,911679278572.171,926359028832.836,14679750260.665,1.61018799107245,"Stump wood and bark weight"
"Southern","BIOMASS",2,416142577189.744,847966712871.157,431824135681.413,103.76831387876,"Total aboveground biomass"
"Southern","CARBON",2,208071289645.29,403306257204.725,195234967559.436,93.8308057263755,"Total aboveground carbon"
"Southern","VMERIB",2,10415726943.3791,10992169156.0725,576442212.693422,5.5343445140893,"Merchantable wood volume"
"Southern","WMERBCH",2,36624957193.0087,121223456309.077,84598499116.0684,230.985933089957,"Top and limb weight"
"Southern","WMEROB",2,315301772727.97,633972694737.786,318670922009.816,101.068547522805,"Merch bole wood and bark weight"
"Southern","WSTPOB",2,28292079197.8759,52818600020.5879,24526520822.712,86.690414837215,"Stump wood and bark weight"
