"SPCD","COMMON_NAME","HWSW","variable","STATUSCD","CRM","CRM2","DIFF","PDIFF","VAR2"
"10","fir spp.","Softwood","BIOMASS",1,10325464.3864761,9884175.05635508,-441289.330121012,-4.27379644734427,"Total aboveground biomass"
"10","fir spp.","Softwood","CARBON",1,5162732.24664735,4748357.69707298,-414374.549574372,-8.02626457809167,"Total aboveground carbon"
"10","fir spp.","Softwood","VMERIB",1,313439.763915897,124086.812693233,-189352.951222664,-60.4112729211575,"Merchantable wood volume"
"10","fir spp.","Softwood","WMERBCH",1,1577744.41543268,6547458.57023057,4969714.15479789,314.988543530037,"Top and limb weight"
"10","fir spp.","Softwood","WMEROB",1,8168157.9887747,2792188.97948679,-5375969.00928791,-65.8161732017913,"Merch bole wood and bark weight"
"10","fir spp.","Softwood","WSTPOB",1,579561.982268706,544527.506637699,-35034.4756310078,-6.04499202895688,"Stump wood and bark weight"
"100","pine spp.","Softwood","BIOMASS",2,57292276.035938,106780894.491374,49488618.4554363,86.3792152791998,"Total aboveground biomass"
"100","pine spp.","Softwood","CARBON",2,28646138.1911906,51035928.5221524,22389790.3309618,78.1598908080642,"Total aboveground carbon"
"100","pine spp.","Softwood","VMERIB",2,2674935.45266108,1702541.05416746,-972394.398493617,-36.3520696369051,"Merchantable wood volume"
"100","pine spp.","Softwood","WMERBCH",2,1114760.23766619,5709305.32723442,4594545.08956823,412.155451398871,"Top and limb weight"
"100","pine spp.","Softwood","WMEROB",2,50971589.7517634,91930136.6381995,40958546.8864361,80.3556394570156,"Merch bole wood and bark weight"
"100","pine spp.","Softwood","WSTPOB",2,5205926.04650846,9141452.52594041,3935526.47943196,75.5970492909991,"Stump wood and bark weight"
"101","whitebark pine","Softwood","BIOMASS",1,80216191263.8761,90141028380.5858,9924837116.7097,12.3726107663992,"Total aboveground biomass"
"101","whitebark pine","Softwood","CARBON",1,40108095861.1561,43082904514.501,2974808653.34489,7.41697801771223,"Total aboveground carbon"
"101","whitebark pine","Softwood","VMERIB",1,1952418350.9829,1867103066.75786,-85315284.2250473,-4.36972353707376,"Merchantable wood volume"
"101","whitebark pine","Softwood","WMERBCH",1,10429484304.6937,27856867478.1276,17427383173.4338,167.097266406458,"Top and limb weight"
"101","whitebark pine","Softwood","WMEROB",1,60274312364.0229,50746144358.9031,-9528168005.11981,-15.8080078086583,"Merch bole wood and bark weight"
"101","whitebark pine","Softwood","WSTPOB",1,3614944297.14356,3774320608.51429,159376311.370728,4.40881790340901,"Stump wood and bark weight"
"101","whitebark pine","Softwood","BIOMASS",2,116221307685.766,153759158455.201,37537850769.4349,32.2985961153766,"Total aboveground biomass"
"101","whitebark pine","Softwood","CARBON",2,58110653926.5268,73489189783.6635,15378535857.1366,26.4642278446578,"Total aboveground carbon"
"101","whitebark pine","Softwood","VMERIB",2,3582481342.2153,3450700307.78156,-131781034.433741,-3.67848487808875,"Merchantable wood volume"
"101","whitebark pine","Softwood","WMERBCH",2,9841081981.29808,47255720199.6257,37414638218.3277,380.188258663327,"Top and limb weight"
"101","whitebark pine","Softwood","WMEROB",2,99960430243.494,99725553456.3564,-234876787.137604,-0.234969764101121,"Merch bole wood and bark weight"
"101","whitebark pine","Softwood","WSTPOB",2,6097050810.53816,6359978199.41648,262927388.878319,4.312369980973,"Stump wood and bark weight"
"101","whitebark pine","Softwood","VSAWIB",1,1232041281.13431,1143116324.11301,-88924957.0212972,-7.21769297692901,"Sawlog wood volume"
"102","Rocky Mountain bristlecone pine","Softwood","BIOMASS",1,8798599428.73257,10117119669.8325,1318520241.09996,14.9855695986593,"Total aboveground biomass"
"102","Rocky Mountain bristlecone pine","Softwood","CARBON",1,4399299728.12749,4835477346.19646,436177618.068971,9.91470563554043,"Total aboveground carbon"
"102","Rocky Mountain bristlecone pine","Softwood","VMERIB",1,221902124.721128,194017644.626711,-27884480.0944166,-12.5661167640734,"Merchantable wood volume"
"102","Rocky Mountain bristlecone pine","Softwood","WMERBCH",1,1158803586.43474,4308010886.37013,3149207299.93539,271.763682542998,"Top and limb weight"
"102","Rocky Mountain bristlecone pine","Softwood","WMEROB",1,6847466415.79113,4852754590.21008,-1994711825.58105,-29.1306551132692,"Merch bole wood and bark weight"
"102","Rocky Mountain bristlecone pine","Softwood","WSTPOB",1,387173508.886154,426611481.848271,39437972.9621167,10.186123806759,"Stump wood and bark weight"
"102","Rocky Mountain bristlecone pine","Softwood","VSAWIB",1,125247805.191255,101230389.401074,-24017415.7901814,-19.1759174969225,"Sawlog wood volume"
"102","Rocky Mountain bristlecone pine","Softwood","BIOMASS",2,1411829255.76181,2029489081.09025,617659825.328439,43.7489039703428,"Total aboveground biomass"
"102","Rocky Mountain bristlecone pine","Softwood","CARBON",2,705914629.679655,969994306.307085,264079676.62743,37.4095769551156,"Total aboveground carbon"
"102","Rocky Mountain bristlecone pine","Softwood","VMERIB",2,44211375.028358,41226999.584788,-2984375.44357006,-6.75024344222685,"Merchantable wood volume"
"102","Rocky Mountain bristlecone pine","Softwood","WMERBCH",2,75817414.5909501,737950483.628309,662133069.037359,873.325834980918,"Top and limb weight"
"102","Rocky Mountain bristlecone pine","Softwood","WMEROB",2,1245450000.8099,1171370493.90319,-74079506.9067097,-5.94801130985082,"Merch bole wood and bark weight"
"102","Rocky Mountain bristlecone pine","Softwood","WSTPOB",2,84079592.5950979,113514320.50889,29434727.9137919,35.0081714305404,"Stump wood and bark weight"
