"NF_REGION","SPCD","COMMON_NAME","HWSW","variable","STATUSCD","CRM","CRM2","DIFF","PDIFF","VAR2"
1,"101","whitebark pine","Softwood","BIOMASS",1,38544271131.9599,42075897490.7178,3531626358.75798,9.16251950041326,"Total aboveground biomass"
1,"101","whitebark pine","Softwood","CARBON",1,19272135664.7267,20110175205.6886,838039540.961872,4.34845185578324,"Total aboveground carbon"
1,"101","whitebark pine","Softwood","VMERIB",1,940721663.451628,894787077.313703,-45934586.1379248,-4.88290935805442,"Merchantable wood volume"
1,"101","whitebark pine","Softwood","WMERBCH",1,5051927311.15497,11543323039.474,6491395728.31901,128.493450687337,"Top and limb weight"
1,"101","whitebark pine","Softwood","WMEROB",1,29028834244.9052,25035233793.115,-3993600451.79027,-13.7573573161698,"Merch bole wood and bark weight"
1,"101","whitebark pine","Softwood","WSTPOB",1,1772525189.83435,1758137491.18948,-14387698.6448689,-0.811706300558327,"Stump wood and bark weight"
1,"101","whitebark pine","Softwood","BIOMASS",2,49491645487.2795,65166795838.8155,15675150351.536,31.6723159983939,"Total aboveground biomass"
1,"101","whitebark pine","Softwood","CARBON",2,24745822782.4718,31146470071.1619,6400647288.69013,25.8655666653521,"Total aboveground carbon"
1,"101","whitebark pine","Softwood","VMERIB",2,1489034315.25824,1468240984.21473,-20793331.0435083,-1.39643061482449,"Merchantable wood volume"
1,"101","whitebark pine","Softwood","WMERBCH",2,4517431733.57599,18667766003.9057,14150334270.3297,313.238474975875,"Top and limb weight"
1,"101","whitebark pine","Softwood","WMEROB",2,42160945177.0391,43450718045.9339,1289772868.89484,3.05916497715817,"Merch bole wood and bark weight"
1,"101","whitebark pine","Softwood","WSTPOB",2,2636939009.10884,2823628894.98132,186689885.872478,7.07979536984325,"Stump wood and bark weight"
1,"101","whitebark pine","Softwood","VSAWIB",1,581249162.650114,537062045.321799,-44187117.3283147,-7.60209565323939,"Sawlog wood volume"
1,"108","lodgepole pine","Softwood","BIOMASS",1,315866280662.389,369859677929.769,53993397267.3804,17.0937515565616,"Total aboveground biomass"
1,"108","lodgepole pine","Softwood","CARBON",1,157933141000.056,186113389934.26,28180248934.2043,17.8431510674472,"Total aboveground carbon"
1,"108","lodgepole pine","Softwood","VMERIB",1,8972080454.81514,8596602473.49389,-375477981.321253,-4.18496003476809,"Merchantable wood volume"
1,"108","lodgepole pine","Softwood","VSAWIB",1,4705439547.33644,4138173734.73296,-567265812.603482,-12.0555328975502,"Sawlog wood volume"
1,"108","lodgepole pine","Softwood","WMERBCH",1,42972192670.4991,80829114336.9899,37856921666.4908,88.0963230263089,"Top and limb weight"
1,"108","lodgepole pine","Softwood","WMEROB",1,231680363238.229,245254375487.131,13574012248.902,5.85893947125087,"Merch bole wood and bark weight"
1,"108","lodgepole pine","Softwood","WSTPOB",1,13466990028.9476,11412478361.8562,-2054511667.09137,-15.2559084299844,"Stump wood and bark weight"
1,"108","lodgepole pine","Softwood","BIOMASS",2,169320884481.726,214873636825.865,45552752344.1389,26.9032095382511,"Total aboveground biomass"
1,"108","lodgepole pine","Softwood","CARBON",2,84660442403.449,108124414050.775,23463971647.3262,27.7153898340252,"Total aboveground carbon"
1,"108","lodgepole pine","Softwood","VMERIB",2,5471525116.4453,5293652539.15419,-177872577.291112,-3.25087747027781,"Merchantable wood volume"
1,"108","lodgepole pine","Softwood","WMERBCH",2,19533339490.6697,49204983060.133,29671643569.4633,151.902564247328,"Top and limb weight"
1,"108","lodgepole pine","Softwood","WMEROB",2,139987892497.706,156222987214.606,16235094716.8995,11.5974992031296,"Merch bole wood and bark weight"
