"STATECD","STATENM","RSCD","variable","STATUSCD","CRM","CRM2","DIFF","PDIFF","VAR2"
1,"Alabama",33,"BIOMASS",1,2038830695360.24,2264834721292.21,226004025931.963,11.0849825071929,"Total aboveground biomass"
1,"Alabama",33,"CARBON",1,1019415351962.26,1073091339510.3,53675987548.0353,5.26536974793591,"Total aboveground carbon"
1,"Alabama",33,"VMERIB",1,40520921510.2318,41155569425.5908,634647915.358963,1.56622280961382,"Merchantable wood volume"
1,"Alabama",33,"VSAWIB",1,22158938106.8573,22324356925.4351,165418818.577854,0.74651058539066,"Sawlog wood volume"
1,"Alabama",33,"WMERBCH",1,313867731997.376,455672792468.376,141805060471,45.1798786605391,"Top and limb weight"
1,"Alabama",33,"WMEROB",1,1440429719447.58,1482687472291.68,42257752844.095,2.93369070865195,"Merch bole wood and bark weight"
1,"Alabama",33,"WSTPOB",1,89628468368.1116,85680533462.4446,-3947934905.66708,-4.40477783180739,"Stump wood and bark weight"
1,"Alabama",33,"BIOMASS",2,27733771300.3256,55476265170.1405,27742493869.8149,100.031451076,"Total aboveground biomass"
1,"Alabama",33,"CARBON",2,13866885722.9915,26341665453.4799,12474779730.4884,89.9609326829968,"Total aboveground carbon"
1,"Alabama",33,"VMERIB",2,710985386.870797,733773382.689099,22787995.8183026,3.2051285777613,"Merchantable wood volume"
1,"Alabama",33,"WMERBCH",2,2356918641.0757,6614570565.7487,4257651924.67299,180.644840703105,"Top and limb weight"
1,"Alabama",33,"WMEROB",2,21607459258.6198,43306391679.3569,21698932420.7372,100.423340666862,"Merch bole wood and bark weight"
1,"Alabama",33,"WSTPOB",2,1970577598.16287,3489013150.90488,1518435552.74201,77.0553544380905,"Stump wood and bark weight"
2,"Alaska",27,"BIOMASS",1,1500580603398.24,1680280076359.53,179699472961.297,11.9753295860514,"Total aboveground biomass"
2,"Alaska",27,"CARBON",1,750290303465.658,835760143487.024,85469840021.3665,11.3915693201117,"Total aboveground carbon"
2,"Alaska",27,"VMERIB",1,42448689204.0574,44398666877.6344,1949977673.57698,4.59372882918277,"Merchantable wood volume"
2,"Alaska",27,"VSAWIB",1,41678384532.5843,38955312564.0563,-2723071968.52792,-6.53353530629051,"Sawlog wood volume"
2,"Alaska",27,"WMERBCH",1,193010593755.706,360184049640.944,167173455885.238,86.6136167099876,"Top and limb weight"
2,"Alaska",27,"WMEROB",1,1196464993665.77,1207697623051.49,11232629385.7236,0.938818055287076,"Merch bole wood and bark weight"
2,"Alaska",27,"WSTPOB",1,59664517632.0239,51333001976.0645,-8331515655.95946,-13.9639370041394,"Stump wood and bark weight"
2,"Alaska",27,"BIOMASS",2,176094345853.225,243997994882.101,67903649028.8755,38.5609479395058,"Total aboveground biomass"
2,"Alaska",27,"CARBON",2,88047173098.5125,121254293595.609,33207120497.0966,37.7151466974897,"Total aboveground carbon"
2,"Alaska",27,"VMERIB",2,5772550148.1022,6039053102.04394,266502953.941741,4.61672825881569,"Merchantable wood volume"
2,"Alaska",27,"WMERBCH",2,10151467835.259,30241191807.0054,20089723971.7463,197.899695864364,"Top and limb weight"
2,"Alaska",27,"WMEROB",2,152870193388.902,198032153741.242,45161960352.3405,29.5426854321094,"Merch bole wood and bark weight"
2,"Alaska",27,"WSTPOB",2,11070734230.2412,13683909882.5161,2613175652.27487,23.6043571991514,"Stump wood and bark weight"
4,"Arizona",22,"BIOMASS",1,254437491217.864,311323985722.886,56886494505.022,22.3577485506303,"Total aboveground biomass"
4,"Arizona",22,"CARBON",1,127218745841.759,158547809137.768,31329063296.009,24.626137515125,"Total aboveground carbon"
4,"Arizona",22,"VMERIB",1,6968885817.26116,7052145926.47132,83260109.2101622,1.19474061411562,"Merchantable wood volume"
4,"Arizona",22,"VSAWIB",1,6166459545.68909,6005173610.94897,-161285934.740118,-2.6155354388544,"Sawlog wood volume"
4,"Arizona",22,"WMERBCH",1,35385691102.5332,75832139768.1729,40446448665.6397,114.301706156996,"Top and limb weight"
4,"Arizona",22,"WMEROB",1,204126180338.447,217485289601.246,13359109262.7993,6.54453497373513,"Merch bole wood and bark weight"
4,"Arizona",22,"WSTPOB",1,9316765048.81825,9488221143.60032,171456094.782072,1.84029643211642,"Stump wood and bark weight"
4,"Arizona",22,"BIOMASS",2,33780515882.5896,51998791059.4761,18218275176.8865,53.9313112926027,"Total aboveground biomass"
4,"Arizona",22,"CARBON",2,16890257967.2868,26194786750.3362,9304528783.04942,55.0881389797037,"Total aboveground carbon"
4,"Arizona",22,"VMERIB",2,1078827088.13496,1191598990.75426,112771902.619299,10.4531953136489,"Merchantable wood volume"
4,"Arizona",22,"WMERBCH",2,3756570966.858,10299294001.3197,6542723034.46167,174.167428013053,"Top and limb weight"
4,"Arizona",22,"WMEROB",2,28304034977.5199,39385201178.9531,11081166201.4332,39.1504822907203,"Merch bole wood and bark weight"
4,"Arizona",22,"WSTPOB",2,1523725181.71007,1997050530.78997,473325349.079903,31.0636953934627,"Stump wood and bark weight"
5,"Arkansas",33,"BIOMASS",1,1680674532097.44,1906564223562.17,225889691464.728,13.4404185433109,"Total aboveground biomass"
5,"Arkansas",33,"CARBON",1,840337269005.008,906951209291.512,66613940286.504,7.9270481916597,"Total aboveground carbon"
5,"Arkansas",33,"VMERIB",1,32589835991.5546,33702415053.2216,1112579061.66708,3.41388358614445,"Merchantable wood volume"
5,"Arkansas",33,"VSAWIB",1,20328002772.2996,20681720956.7196,353718184.419991,1.7400537986053,"Sawlog wood volume"
5,"Arkansas",33,"WMERBCH",1,265317016803.548,441541689119.593,176224672316.045,66.4204182751417,"Top and limb weight"
5,"Arkansas",33,"WMEROB",1,1206153459040.39,1230865018493.78,24711559453.3914,2.04879066325869,"Merch bole wood and bark weight"
5,"Arkansas",33,"WSTPOB",1,72578157326.4685,74620916258.3867,2042758931.9182,2.81456433611222,"Stump wood and bark weight"
5,"Arkansas",33,"BIOMASS",2,31399942979.4273,81516915957.6548,50116972978.2275,159.608484037896,"Total aboveground biomass"
5,"Arkansas",33,"CARBON",2,15699971570.9027,38779344999.2618,23079373428.3591,147.002644712636,"Total aboveground carbon"
5,"Arkansas",33,"VMERIB",2,437271895.553029,463334454.034551,26062558.4815217,5.96026379618103,"Merchantable wood volume"
5,"Arkansas",33,"WMERBCH",2,2470372576.97391,11460982336.677,8990609759.70304,363.937401325759,"Top and limb weight"
5,"Arkansas",33,"WMEROB",2,23900296053.3565,62107288208.8176,38206992155.4611,159.859911651996,"Merch bole wood and bark weight"
5,"Arkansas",33,"WSTPOB",2,2186299888.41109,4993433637.62089,2807133749.2098,128.396555481229,"Stump wood and bark weight"
6,"California",26,"BIOMASS",1,4104047153729.94,4443844742354.29,339797588624.355,8.27957320898548,"Total aboveground biomass"
6,"California",26,"CARBON",1,2052023579552.86,2233520116767.18,181496537214.329,8.84475885281386,"Total aboveground carbon"
6,"California",26,"VMERIB",1,103702653229.22,99854958099.5488,-3847695129.6711,-3.71031503038434,"Merchantable wood volume"
