"TYPGRPCD","TYPGRPCD_MEANING","variable","STATUSCD","CRM","CRM2","DIFF","PDIFF","VAR2"
100,"White / red / jack pine group","BIOMASS",1,1033098942011.13,1231879657480.76,198780715469.627,19.241207921737,"Total aboveground biomass"
100,"White / red / jack pine group","CARBON",1,516549471861.624,616029718671.052,99480246809.4283,19.2586097224929,"Total aboveground carbon"
100,"White / red / jack pine group","VMERIB",1,28462225803.1972,31735324411.077,3273098607.87976,11.499798471531,"Merchantable wood volume"
100,"White / red / jack pine group","WMERBCH",1,157239693564.013,283430149847.81,126190456283.798,80.2535628399869,"Top and limb weight"
100,"White / red / jack pine group","WMEROB",1,813123068721.909,879374251494.397,66251182772.488,8.14774359761108,"Merch bole wood and bark weight"
100,"White / red / jack pine group","WSTPOB",1,41225359149.0362,40607176422.7366,-618182726.299675,-1.49952053556367,"Stump wood and bark weight"
100,"White / red / jack pine group","VSAWIB",1,19521459973.612,22584870373.7595,3063410400.14744,15.6925271177892,"Sawlog wood volume"
100,"White / red / jack pine group","BIOMASS",2,13561898582.1939,25231765709.5653,11669867127.3714,86.0489190111876,"Total aboveground biomass"
100,"White / red / jack pine group","CARBON",2,6780949342.62263,12455377312.7736,5674427970.15093,83.6819106505264,"Total aboveground carbon"
100,"White / red / jack pine group","VMERIB",2,386582509.169445,598171521.910964,211589012.741519,54.7332090104408,"Merchantable wood volume"
100,"White / red / jack pine group","WMERBCH",2,1011239792.13002,3210044820.70223,2198805028.57221,217.436561108891,"Top and limb weight"
100,"White / red / jack pine group","WMEROB",2,9549210507.87744,17886615320.706,8337404812.82851,87.3098860471316,"Merch bole wood and bark weight"
100,"White / red / jack pine group","WSTPOB",2,683334765.781482,1203864910.86151,520530145.080025,76.1749834994465,"Stump wood and bark weight"
120,"Spruce / fir group","BIOMASS",1,836632612884.398,1040644460134.26,204011847249.864,24.3848786322717,"Total aboveground biomass"
120,"Spruce / fir group","CARBON",1,418316308828.318,513520615234.757,95204306406.439,22.7589277293781,"Total aboveground carbon"
120,"Spruce / fir group","VMERIB",1,22484898978.9669,21768811911.2987,-716087067.668224,-3.18474665302288,"Merchantable wood volume"
120,"Spruce / fir group","WMERBCH",1,118483103791.387,275232361053.874,156749257262.487,132.296717630283,"Top and limb weight"
120,"Spruce / fir group","WMEROB",1,587450022557.474,597389291520.934,9939268963.46021,1.69193439131884,"Merch bole wood and bark weight"
120,"Spruce / fir group","WSTPOB",1,37538537141.1353,43970194557.9809,6431657416.84562,17.1334791035256,"Stump wood and bark weight"
120,"Spruce / fir group","VSAWIB",1,9755724293.03481,9320911710.06339,-434812582.971415,-4.45699950009712,"Sawlog wood volume"
120,"Spruce / fir group","BIOMASS",2,29125858831.5055,49188850555.5396,20062991724.0341,68.8837772650738,"Total aboveground biomass"
120,"Spruce / fir group","CARBON",2,14562929573.0564,24406802948.1372,9843873375.08082,67.5954197656319,"Total aboveground carbon"
120,"Spruce / fir group","VMERIB",2,763560968.581606,1025327861.24323,261766892.661624,34.2823826036948,"Merchantable wood volume"
120,"Spruce / fir group","WMERBCH",2,2073034236.38597,7971384913.72788,5898350677.34191,284.52741270809,"Top and limb weight"
120,"Spruce / fir group","WMEROB",2,18881739099.811,30782993903.0513,11901254803.2403,63.0305012707197,"Merch bole wood and bark weight"
120,"Spruce / fir group","WSTPOB",2,1438238217.60512,2605604001.56614,1167365783.96103,81.1663721399968,"Stump wood and bark weight"
140,"Longleaf / slash pine group","BIOMASS",1,951682292017.569,1025387916797.53,73705624779.9612,7.74477211546146,"Total aboveground biomass"
140,"Longleaf / slash pine group","CARBON",1,475841147578.356,511475891653.301,35634744074.9448,7.48878995780348,"Total aboveground carbon"
140,"Longleaf / slash pine group","VMERIB",1,18912572731.9694,18496090055.8053,-416482676.164146,-2.20214712226927,"Merchantable wood volume"
