"VOLUME_REG","variable","STATUSCD","CRM","CRM2","DIFF","PDIFF","VAR2"
"Alaska","BIOMASS",1,1500580603398.24,1680280076359.53,179699472961.297,11.9753295860514,"Total aboveground biomass"
"Alaska","CARBON",1,750290303465.658,835760143487.024,85469840021.3665,11.3915693201117,"Total aboveground carbon"
"Alaska","VMERIB",1,42448689204.0574,44398666877.6344,1949977673.57698,4.59372882918277,"Merchantable wood volume"
"Alaska","VSAWIB",1,41678384532.5843,38955312564.0563,-2723071968.52792,-6.53353530629051,"Sawlog wood volume"
"Alaska","WMERBCH",1,193010593755.706,360184049640.944,167173455885.238,86.6136167099876,"Top and limb weight"
"Alaska","WMEROB",1,1196464993665.77,1207697623051.49,11232629385.7236,0.938818055287076,"Merch bole wood and bark weight"
"Alaska","WSTPOB",1,59664517632.0239,51333001976.0645,-8331515655.95946,-13.9639370041394,"Stump wood and bark weight"
"Alaska","BIOMASS",2,176094345853.225,243997994882.101,67903649028.8755,38.5609479395058,"Total aboveground biomass"
"Alaska","CARBON",2,88047173098.5125,121254293595.609,33207120497.0966,37.7151466974897,"Total aboveground carbon"
"Alaska","VMERIB",2,5772550148.1022,6039053102.04394,266502953.941741,4.61672825881569,"Merchantable wood volume"
"Alaska","WMERBCH",2,10151467835.259,30241191807.0054,20089723971.7463,197.899695864364,"Top and limb weight"
"Alaska","WMEROB",2,152870193388.902,198032153741.242,45161960352.3405,29.5426854321094,"Merch bole wood and bark weight"
"Alaska","WSTPOB",2,11070734230.2412,13683909882.5161,2613175652.27487,23.6043571991514,"Stump wood and bark weight"
"CA Mixed Conifer Group","BIOMASS",1,1677456431605.77,1861500298944.33,184043867338.569,10.9716034271239,"Total aboveground biomass"
"CA Mixed Conifer Group","CARBON",1,838728216810.336,944045039407.875,105316822597.539,12.5567282090564,"Total aboveground carbon"
"CA Mixed Conifer Group","VMERIB",1,44319065068.6968,43545277964.7086,-773787103.988213,-1.7459463614334,"Merchantable wood volume"
"CA Mixed Conifer Group","WMERBCH",1,233680635246.032,346051304679.263,112370669433.23,48.0872834477363,"Top and limb weight"
"CA Mixed Conifer Group","WMEROB",1,1348203372382.52,1431310493112.66,83107120730.1406,6.16428666717212,"Merch bole wood and bark weight"
"CA Mixed Conifer Group","WSTPOB",1,56745448479.3797,50316775031.2712,-6428673448.10855,-11.3289675566572,"Stump wood and bark weight"
"CA Mixed Conifer Group","BIOMASS",2,169139710056.476,233999555007.71,64859844951.2336,38.3469056022247,"Total aboveground biomass"
"CA Mixed Conifer Group","CARBON",2,84569855117.7683,118615654892.886,34045799775.118,40.2576068360378,"Total aboveground carbon"
"CA Mixed Conifer Group","VMERIB",2,5941395263.08005,5720514649.60744,-220880613.472606,-3.71765559590291,"Merchantable wood volume"
"CA Mixed Conifer Group","WMERBCH",2,16311097940.0071,29346883725.2863,13035785785.2791,79.9197321555255,"Top and limb weight"
"CA Mixed Conifer Group","WMEROB",2,143488077362.281,194288291777.115,50800214414.8332,35.4037877910733,"Merch bole wood and bark weight"
"CA Mixed Conifer Group","WSTPOB",2,7272300797.29722,8742431974.41802,1470131177.1208,20.2154891292063,"Stump wood and bark weight"
"CA Mixed Conifer Group","VSAWIB",1,39862516270.431,39621157825.7282,-241358444.702873,-0.605477193324864,"Sawlog wood volume"
"CA Other Forest Groups","BIOMASS",1,2426395265062.43,2582013607523.96,155618342461.536,6.41356108389588,"Total aboveground biomass"
"CA Other Forest Groups","CARBON",1,1213197634211.62,1289316727444.94,76119093233.3174,6.27425335219863,"Total aboveground carbon"
"CA Other Forest Groups","VMERIB",1,59378783460.9587,56303871451.7551,-3074912009.20353,-5.17846919384139,"Merchantable wood volume"
"CA Other Forest Groups","WMERBCH",1,352910143181.274,581100762264.047,228190619082.773,64.6596941152698,"Top and limb weight"
"CA Other Forest Groups","WMEROB",1,1906467697993.22,1844899909920.65,-61567788072.572,-3.22941679722029,"Merch bole wood and bark weight"
"CA Other Forest Groups","WSTPOB",1,92087039905.3321,84911464729.0551,-7175575176.27698,-7.79216617631934,"Stump wood and bark weight"
"CA Other Forest Groups","BIOMASS",2,168174177201.63,218134384053.95,49960206852.3202,29.7074186320657,"Total aboveground biomass"
"CA Other Forest Groups","CARBON",2,84087088712.7834,109251378557.569,25164289844.7851,29.9264610417646,"Total aboveground carbon"
"CA Other Forest Groups","VMERIB",2,5644829042.57676,5088782865.79928,-556046176.777478,-9.8505406024423,"Merchantable wood volume"
"CA Other Forest Groups","WMERBCH",2,16007249316.5383,32482125059.9115,16474875743.3732,102.921341559613,"Top and limb weight"
"CA Other Forest Groups","WMEROB",2,141185451230.385,171855064204.82,30669612974.4352,21.7229273322142,"Merch bole wood and bark weight"
"CA Other Forest Groups","WSTPOB",2,7978904943.19214,11149061599.9924,3170156656.80029,39.7317260873645,"Stump wood and bark weight"
"CA Other Forest Groups","VSAWIB",1,49331248261.7084,48663860084.2933,-667388177.415031,-1.35287105218675,"Sawlog wood volume"
"Central States","BIOMASS",1,2519916805953.34,3305841862019.01,785925056065.674,31.1885318677551,"Total aboveground biomass"
"Central States","CARBON",1,1259958404746.27,1578538761596.85,318580356850.583,25.2849900163759,"Total aboveground carbon"
"Central States","VMERIB",1,48927375368.9048,58005549858.5358,9078174489.63098,18.5543868257452,"Merchantable wood volume"
"Central States","WMERBCH",1,450663041043.743,967142594564.34,516479553520.597,114.604373219606,"Top and limb weight"
"Central States","WMEROB",1,1899318044120.18,2142178757760.55,242860713640.374,12.7867322901613,"Merch bole wood and bark weight"
"Central States","WSTPOB",1,109409209276.864,126265151089.129,16855941812.2655,15.4063281543431,"Stump wood and bark weight"
"Central States","VSAWIB",1,26445230211.3142,32224974475.644,5779744264.32982,21.8555263771425,"Sawlog wood volume"
"Central States","BIOMASS",2,40010038655.3864,61099666554.5337,21089627899.1473,52.7108410986454,"Total aboveground biomass"
"Central States","CARBON",2,20005019428.9401,29052017804.1306,9046998375.1905,45.2236420330727,"Total aboveground carbon"
"Central States","VMERIB",2,1028435623.42798,1122709869.96252,94274246.5345427,9.16676205947711,"Merchantable wood volume"
"Central States","WMERBCH",2,3612007452.72414,9688080250.62484,6076072797.9007,168.218722619694,"Top and limb weight"
"Central States","WMEROB",2,27778706695.0204,41982491001.8338,14203784306.8134,51.1319136011454,"Merch bole wood and bark weight"
"Central States","WSTPOB",2,2410013732.94649,3232094786.95573,822081054.009236,34.1110526786981,"Stump wood and bark weight"
"Eastern MT","BIOMASS",1,66187232661.0713,85413816152.0688,19226583490.9976,29.0487798295666,"Total aboveground biomass"
"Eastern MT","CARBON",1,33093616461.9743,43434189222.9872,10340572761.0129,31.2464271558069,"Total aboveground carbon"
"Eastern MT","VMERIB",1,1737865663.99541,1879332098.83897,141466434.843565,8.14023993766754,"Merchantable wood volume"
"Eastern MT","VSAWIB",1,1207772983.8298,1335061635.20548,127288651.375675,10.5391206029504,"Sawlog wood volume"
