"VOLUME_REG","SPCD","COMMON_NAME","HWSW","variable","STATUSCD","CRM","CRM2","DIFF","PDIFF","VAR2"
"Alaska","108","lodgepole pine","Softwood","BIOMASS",1,15076175182.0798,21368903271.9938,6292728089.91401,41.7395527308134,"Total aboveground biomass"
"Alaska","108","lodgepole pine","Softwood","CARBON",1,7538087640.59935,10752832126.4673,3214744485.86795,42.6466849304548,"Total aboveground carbon"
"Alaska","108","lodgepole pine","Softwood","VMERIB",1,419840816.529107,452162164.576601,32321348.0474942,7.69847684527199,"Merchantable wood volume"
"Alaska","108","lodgepole pine","Softwood","VSAWIB",1,330034774.367406,322375538.330606,-7659236.03680092,-2.32073606530759,"Sawlog wood volume"
"Alaska","108","lodgepole pine","Softwood","WMERBCH",1,1909295487.88309,8150209185.70216,6240913697.81907,326.869975727991,"Top and limb weight"
"Alaska","108","lodgepole pine","Softwood","WMEROB",1,10841284065.8307,11115873435.0934,274589369.262714,2.53281223511299,"Merch bole wood and bark weight"
"Alaska","108","lodgepole pine","Softwood","WSTPOB",1,554718327.130474,660618422.478148,105900095.347674,19.0907871920312,"Stump wood and bark weight"
"Alaska","108","lodgepole pine","Softwood","BIOMASS",2,3491237054.81584,5157927177.95234,1666690123.1365,47.739242479609,"Total aboveground biomass"
"Alaska","108","lodgepole pine","Softwood","CARBON",2,1745618533.95672,2595468955.94562,849850421.9889,48.6847730736785,"Total aboveground carbon"
"Alaska","108","lodgepole pine","Softwood","VMERIB",2,119198939.050323,124235767.913354,5036828.86303104,4.22556517965703,"Merchantable wood volume"
"Alaska","108","lodgepole pine","Softwood","WMERBCH",2,236045373.586882,1592357188.53992,1356311814.95303,574.597923417386,"Top and limb weight"
"Alaska","108","lodgepole pine","Softwood","WMEROB",2,2987081442.6626,3290105086.59861,303023643.936003,10.1444721127488,"Merch bole wood and bark weight"
"Alaska","108","lodgepole pine","Softwood","WSTPOB",2,155938606.452507,213648415.703093,57709809.2505856,37.0080319193834,"Stump wood and bark weight"
"Alaska","11","Pacific silver fir","Softwood","BIOMASS",1,278445188.306575,293781586.135792,15336397.8292176,5.50786958197743,"Total aboveground biomass"
"Alaska","11","Pacific silver fir","Softwood","CARBON",1,139222594.437371,144883285.562635,5660691.12526393,4.06592848534393,"Total aboveground carbon"
"Alaska","11","Pacific silver fir","Softwood","VMERIB",1,7927712.46817713,8084050.87194122,156338.403764091,1.97204936974762,"Merchantable wood volume"
"Alaska","11","Pacific silver fir","Softwood","VSAWIB",1,7194853.49497671,6930813.32183275,-264040.173143959,-3.6698478061896,"Sawlog wood volume"
"Alaska","11","Pacific silver fir","Softwood","WMERBCH",1,37760595.4526401,52741643.9856198,14981048.5329797,39.6737613731997,"Top and limb weight"
"Alaska","11","Pacific silver fir","Softwood","WMEROB",1,228348561.585429,229835415.767363,1486854.18193385,0.6511335878845,"Merch bole wood and bark weight"
"Alaska","11","Pacific silver fir","Softwood","WSTPOB",1,11855288.01247,10604053.824018,-1251234.188452,-10.5542285192557,"Stump wood and bark weight"
"Alaska","19","subalpine fir","Softwood","BIOMASS",1,569120671.993035,804991309.155286,235870637.162252,41.4447495530681,"Total aboveground biomass"
"Alaska","19","subalpine fir","Softwood","CARBON",1,284560336.448088,388126559.709221,103566223.261133,36.3951717775769,"Total aboveground carbon"
"Alaska","19","subalpine fir","Softwood","VMERIB",1,20248390.7066692,19191675.1872981,-1056715.51937111,-5.21876298555943,"Merchantable wood volume"
"Alaska","19","subalpine fir","Softwood","VSAWIB",1,18695516.1254149,16477843.8514343,-2217672.27398057,-11.8620542974251,"Sawlog wood volume"
"Alaska","19","subalpine fir","Softwood","WMERBCH",1,78479849.7076359,311145984.642591,232666134.934955,296.466081168242,"Top and limb weight"
"Alaska","19","subalpine fir","Softwood","WMEROB",1,459913847.127142,456060843.782306,-3853003.34483612,-0.837766327085812,"Merch bole wood and bark weight"
"Alaska","19","subalpine fir","Softwood","WSTPOB",1,18104894.813749,19112356.7029002,1007461.88915129,5.5645829457469,"Stump wood and bark weight"
"Alaska","19","subalpine fir","Softwood","BIOMASS",2,41548067.7355886,48649895.0381724,7101827.30258384,17.0930387130872,"Total aboveground biomass"
"Alaska","19","subalpine fir","Softwood","CARBON",2,20774033.8986439,23456546.8926548,2682512.99401096,12.9128170633537,"Total aboveground carbon"
"Alaska","19","subalpine fir","Softwood","VMERIB",2,1605579.02000064,1522845.5062071,-82733.5137935453,-5.15287710931301,"Merchantable wood volume"
"Alaska","19","subalpine fir","Softwood","WMERBCH",2,3234552.75391134,9955587.78519883,6721035.03128749,207.788697314031,"Top and limb weight"
"Alaska","19","subalpine fir","Softwood","WMEROB",2,36564894.3374647,36813452.1700693,248557.83260455,0.67977177866442,"Merch bole wood and bark weight"
"Alaska","19","subalpine fir","Softwood","WSTPOB",2,1748620.64421249,1880855.08290426,132234.438691768,7.56221420177278,"Stump wood and bark weight"
"Alaska","231","Pacific yew","Softwood","BIOMASS",1,9758378.49410209,18310376.5652917,8551998.07118964,87.6374909659265,"Total aboveground biomass"
"Alaska","231","Pacific yew","Softwood","CARBON",1,4879189.24705105,8642497.73881771,3763308.49176666,77.1297914718349,"Total aboveground carbon"
"Alaska","231","Pacific yew","Softwood","VMERIB",1,197131.075132854,161650.25695383,-35480.8181790241,-17.9985921322208,"Merchantable wood volume"
"Alaska","231","Pacific yew","Softwood","WMERBCH",1,1117592.50557579,9965640.3319999,8848047.82642411,791.70608090876,"Top and limb weight"
"Alaska","231","Pacific yew","Softwood","WMEROB",1,7670890.54452145,6928932.30134296,-741958.243178491,-9.67238730460569,"Merch bole wood and bark weight"
"Alaska","231","Pacific yew","Softwood","WSTPOB",1,746689.254583689,859040.358736137,112351.104152448,15.0465676936906,"Stump wood and bark weight"
"Alaska","231","Pacific yew","Softwood","VSAWIB",1,90264.9763737584,71664.6390085253,-18600.3373652332,-20.6063726070399,"Sawlog wood volume"
"Alaska","242","western redcedar","Softwood","BIOMASS",1,56741851246.0415,72929551293.8036,16187700047.7622,28.5286780256249,"Total aboveground biomass"
"Alaska","242","western redcedar","Softwood","CARBON",1,28370925685.3407,36741907941.8183,8370982256.4776,29.5054956941462,"Total aboveground carbon"
"Alaska","242","western redcedar","Softwood","VMERIB",1,2089580856.31369,2218445698.33027,128864842.016578,6.16701869311312,"Merchantable wood volume"
"Alaska","242","western redcedar","Softwood","WMERBCH",1,7080016644.83456,13453590798.6427,6373574153.80817,90.0220221721964,"Top and limb weight"
"Alaska","242","western redcedar","Softwood","WMEROB",1,45534741822.2123,54220432601.1361,8685690778.9238,19.0748655451624,"Merch bole wood and bark weight"
"Alaska","242","western redcedar","Softwood","WSTPOB",1,2240063556.27787,3971732420.51722,1731668864.23935,77.3044523395902,"Stump wood and bark weight"
"Alaska","242","western redcedar","Softwood","VSAWIB",1,2208869735.13134,1981985937.3799,-226883797.751435,-10.271488360899,"Sawlog wood volume"
"Alaska","242","western redcedar","Softwood","BIOMASS",2,8576084551.42936,13981502026.1193,5405417474.68997,63.0289666837422,"Total aboveground biomass"
"Alaska","242","western redcedar","Softwood","CARBON",2,4288042283.14025,7043880720.75892,2755838437.61868,64.2679865460773,"Total aboveground carbon"
"Alaska","242","western redcedar","Softwood","VMERIB",2,369130359.926995,386647006.735917,17516646.8089221,4.74538231219627,"Merchantable wood volume"
"Alaska","242","western redcedar","Softwood","WMERBCH",2,350470958.304775,1351111771.08437,1000640812.77959,285.513189914418,"Top and limb weight"
"Alaska","242","western redcedar","Softwood","WMEROB",2,7624299867.95894,11415925259.0704,3791625391.11144,49.7308009492874,"Merch bole wood and bark weight"
"Alaska","242","western redcedar","Softwood","WSTPOB",2,428642651.274626,1104655534.35637,676012883.081746,157.710130121567,"Stump wood and bark weight"
"Alaska","263","western hemlock","Softwood","BIOMASS",1,612909110612.818,599797114070.49,-13111996542.3286,-2.1393052110481,"Total aboveground biomass"
"Alaska","263","western hemlock","Softwood","CARBON",1,306454555897.068,304097136833.738,-2357419063.33002,-0.769255675259671,"Total aboveground carbon"
"Alaska","263","western hemlock","Softwood","VMERIB",1,15853467646.8122,15811027344.703,-42440302.1091595,-0.26770359049929,"Merchantable wood volume"
"Alaska","263","western hemlock","Softwood","WMERBCH",1,78690921384.2637,120042097491.923,41351176107.6589,52.5488523710794,"Top and limb weight"
"Alaska","263","western hemlock","Softwood","WMEROB",1,493638934196.553,449044102755.535,-44594831441.0177,-9.03389671108505,"Merch bole wood and bark weight"
"Alaska","263","western hemlock","Softwood","WSTPOB",1,23982682252.5456,15215865581.6154,-8766816670.93025,-36.5547797306938,"Stump wood and bark weight"
"Alaska","263","western hemlock","Softwood","VSAWIB",1,15879992524.0383,14130515170.1351,-1749477353.9032,-11.0168650977318,"Sawlog wood volume"
"Alaska","263","western hemlock","Softwood","BIOMASS",2,64651630672.2447,86721781578.318,22070150906.0733,34.137036725275,"Total aboveground biomass"
"Alaska","263","western hemlock","Softwood","CARBON",2,32325815390.7225,43967943260.2072,11642127869.4847,36.0149550096918,"Total aboveground carbon"
"Alaska","263","western hemlock","Softwood","VMERIB",2,2081522376.00471,2106444474.77332,24922098.7686088,1.19730150662346,"Merchantable wood volume"
"Alaska","263","western hemlock","Softwood","WMERBCH",2,3446149620.33258,6786940910.07435,3340791289.74177,96.9427232651424,"Top and limb weight"
"Alaska","263","western hemlock","Softwood","WMEROB",2,55862025638.5854,74667530767.7988,18805505129.2134,33.6642019587345,"Merch bole wood and bark weight"
"Alaska","263","western hemlock","Softwood","WSTPOB",2,4661588954.22735,4789660579.93929,128071625.711939,2.74738135364332,"Stump wood and bark weight"
"Alaska","264","mountain hemlock","Softwood","BIOMASS",1,190759786323.312,236682205283.181,45922418959.8695,24.0734275525122,"Total aboveground biomass"
"Alaska","264","mountain hemlock","Softwood","CARBON",1,95379893449.3974,113205098786.946,17825205337.5482,18.6886404386739,"Total aboveground carbon"
"Alaska","264","mountain hemlock","Softwood","VMERIB",1,4991173821.47152,4916123049.03973,-75050772.4317942,-1.50366978022151,"Merchantable wood volume"
"Alaska","264","mountain hemlock","Softwood","WMERBCH",1,24769635279.8091,46719515763.6793,21949880483.8701,88.616082699298,"Top and limb weight"
"Alaska","264","mountain hemlock","Softwood","WMEROB",1,150984365699.495,169274996581.119,18290630881.6248,12.1142548745933,"Merch bole wood and bark weight"
"Alaska","264","mountain hemlock","Softwood","WSTPOB",1,7922431551.68903,10134678820.4463,2212247268.75732,27.923841996283,"Stump wood and bark weight"
"Alaska","264","mountain hemlock","Softwood","VSAWIB",1,4524083318.26186,4002964576.80206,-521118741.459805,-11.5187697661593,"Sawlog wood volume"
"Alaska","264","mountain hemlock","Softwood","BIOMASS",2,14662645910.8689,23078684780.274,8416038869.40511,57.397818378514,"Total aboveground biomass"
"Alaska","264","mountain hemlock","Softwood","CARBON",2,7331322970.61255,11038534930.405,3707211959.79249,50.5667527491664,"Total aboveground carbon"
"Alaska","264","mountain hemlock","Softwood","VMERIB",2,483305130.067756,463093132.49385,-20211997.5739063,-4.18203662995936,"Merchantable wood volume"
"Alaska","264","mountain hemlock","Softwood","WMERBCH",2,891030789.89969,2488103643.27195,1597072853.37226,179.238795278001,"Top and limb weight"
"Alaska","264","mountain hemlock","Softwood","WMEROB",2,12839234336.2676,18939530654.9373,6100296318.66969,47.5129291895382,"Merch bole wood and bark weight"
"Alaska","264","mountain hemlock","Softwood","WSTPOB",2,835492744.050594,1510370323.91007,674877579.859474,80.775995323139,"Stump wood and bark weight"
"Alaska","351","red alder","Hardwood","BIOMASS",1,6965809421.52651,8598344764.01046,1632535342.48395,23.4364055014039,"Total aboveground biomass"
"Alaska","351","red alder","Hardwood","CARBON",1,3482904722.31427,4153000521.01705,670095798.702786,19.2395673188996,"Total aboveground carbon"
