fia,dmw
VOLTSGRS,VTOTIB_GROSS
VOLTSGRS_BARK,VTOTBK_GROSS
VOLTSSND,VTOTIB_SOUND
VOLTSSND_BARK,VTOTBK_SOUND
VOLCFGRS_STUMP,VSTPIB_GROSS
VOLCFGRS_STUMP_BARK,VSTPBK_GROSS
VOLCFSND_STUMP,VSTPIB_SOUND
VOLCFSND_STUMP_BARK,VSTPBK_SOUND
VOLCFGRS,VMERIB_GROSS
VOLCFGRS_BARK,VMERBK_GROSS
VOLCFGRS_TOP,VTOPIB_GROSS
VOLCFGRS_TOP_BARK,VTOPBK_GROSS
VOLCFSND,VMERIB_SOUND
VOLCFSND_BARK,VMERBK_SOUND
VOLCFSND_TOP,VTOPIB_SOUND
VOLCFSND_TOP_BARK,VTOPBK_SOUND
DRYBIO_STUMP,WSTPIB
DRYBIO_STUMP_BARK,WSTPBK
DRYBIO_BOLE,WMERIB
DRYBIO_BOLE_BARK,WMERBK
DRYBIO_TOP_STEM,WTOPIB
DRYBIO_TOP_BARK,WTOPBK
DRYBIO_TOP,WMERBCH
DRYBIO_BRANCH,WTOTBCH
DRYBIO_FOLIAGE,FOLIAGE
DRYBIO_AG,BIOMASS
DRYBIO_STEM,WTOTIB
DRYBIO_STEM_BARK,WTOTBK
VOLCSGRS,VSAWIB_GROSS
VOLCSGRS_BARK,VSAWBK_GROSS
VOLCSSND,VSAWIB_SOUND
VOLCSSND_BARK,VSAWBK_SOUND
CARBON_AG,CARBON
DRYBIO_SAWLOG,WSAWIB
DRYBIO_SAWLOG_BARK,WSAWBK
