SPCD,ST_WD_CV_TOT,ST_BK_CV_TOT,ST_BK_DW_TOT,BRT_WDBK_DW_TOT,TT_WDBK_DW_ADJ,FOL_DW,RCUMIB,RCUMOB,ST_WDBK_CV_TOT
10,3,,,,,,6,,
11,3,,,,,,6,,
12,4,4,4,3,4,3,6,6,3
15,3,3,3,3,3,3,6,6,3
17,3,3,,,,3,6,6,3
19,4,3,4,3,4,3,6,6,3
20,3,3,,,,,6,6,3
42,3,3,,,,,6,6,3
43,4,3,,,,,6,6,3
68,4,3,,,,,6,6,3
71,4,3,3,3,4,3,6,6,3
73,,,,,,3,,,
81,3,3,,,,,6,6,3
90,4,,,,,,6,,
91,4,3,,,,,6,6,3
93,4,3,3,3,3,3,6,6,3
94,4,4,3,3,4,3,6,6,3
95,4,4,3,3,3,3,6,6,3
97,4,3,3,,,3,6,6,3
98,3,3,3,,,,6,6,3
100,3,3,,,,,6,6,3
105,4,3,3,3,3,3,6,6,3
107,4,3,3,,,,6,6,3
108,4,3,3,3,3,4,6,6,3
110,4,4,3,3,4,3,6,6,3
111,3,4,3,3,4,3,6,6,3
1_111,3,4,3,3,4,3,6,6,3
115,3,3,3,,,,6,6,3
117,3,3,,,,,6,6,3
119,3,,,,,,6,,
121,4,4,3,3,4,3,6,6,3
122,4,4,3,3,3,3,6,6,3
123,4,3,3,,,,6,6,3
125,3,4,4,3,4,3,6,6,3
126,3,4,3,,,,6,6,3
128,4,4,3,,,,6,6,3
129,4,4,4,3,4,3,6,6,3
131,4,4,4,5,5,5,6,6,3
1_131,4,4,4,5,5,5,6,6,3
132,3,4,4,3,3,3,6,6,3
133,,,,,,3,,,
202,4,3,3,3,3,4,6,6,3
211,3,3,,,,3,6,6,3
221,3,3,,,,,6,6,3
222,3,3,3,3,3,,6,6,3
241,4,3,3,3,4,3,6,6,3
242,4,3,3,,,,6,6,3
260,3,,,,,,6,,
261,4,3,3,3,4,3,6,6,3
263,4,3,3,3,3,3,6,6,3
264,3,,,,,,6,,
312,4,,,,,,6,,
313,4,3,3,3,3,3,6,6,3
316,3,4,3,3,4,3,6,6,3
317,3,3,3,3,3,3,6,6,3
318,4,3,3,3,3,3,6,6,3
330,3,3,,,,,6,6,3
351,4,4,,,,3,6,6,3
370,4,3,,,,,6,6,3
371,4,3,3,3,3,3,6,6,3
375,4,4,3,3,3,3,6,6,3
391,,,3,3,3,3,,,
400,3,4,3,3,3,3,6,6,3
403,3,3,,,,,6,6,3
404,3,3,,,,,6,6,3
407,3,3,,,,,6,6,3
421,3,3,,,,,6,6,3
460,3,3,,,,,6,6,3
461,3,3,3,3,3,3,6,6,3
491,3,3,3,3,3,3,6,6,3
521,4,3,,,,,6,6,3
531,4,3,3,3,3,3,6,6,3
540,4,4,3,3,3,3,6,6,3
541,3,3,3,3,3,3,6,6,3
543,3,3,3,,,,6,6,3
544,3,3,3,3,3,3,6,6,3
555,3,3,,,,,6,6,3
591,3,3,,,,,6,6,3
602,3,3,,,,,6,6,3
611,3,4,3,3,4,3,6,6,3
621,3,4,3,3,4,3,6,6,3
651,3,3,,,,,6,6,3
653,3,3,,,,,6,6,3
691,4,3,3,3,3,4,6,6,3
693,3,3,,,,,6,6,3
694,3,4,3,3,3,3,6,6,3
731,3,3,,,,,6,6,3
740,4,3,3,3,3,3,6,6,3
741,4,3,3,3,3,3,6,6,3
742,3,3,,,,3,6,6,3
743,3,3,3,3,3,3,6,6,3
746,4,3,3,3,4,3,6,6,3
747,3,3,,,,,6,6,3
762,3,3,3,3,3,3,6,6,3
800,5,4,,,,,6,6,3
802,3,3,4,3,4,3,6,6,3
806,3,4,3,3,3,3,6,6,3
809,3,,,,,,6,,
812,4,4,3,3,3,3,6,6,3
813,3,3,,,,,6,6,3
820,4,4,,,,,6,6,3
822,3,3,3,3,3,3,6,6,3
823,3,,,,,,6,,
825,3,3,,,,,6,6,3
827,4,3,3,3,3,3,6,6,3
828,3,3,3,3,3,3,6,6,3
831,3,3,3,3,3,3,6,6,3
832,3,4,3,3,3,3,6,6,3
833,3,4,3,3,3,3,6,6,3
835,4,4,,,,,6,6,3
837,4,4,3,3,3,3,6,6,3
838,3,3,,,,,6,6,3
901,3,3,,,,,6,6,3
950,4,3,3,3,3,3,6,6,3
951,4,3,,,,,6,6,3
970,3,3,3,3,3,3,6,6,3
972,4,3,3,3,3,3,6,6,3
999,3,4,,,,3,6,6,3
372,,,,,,,,6,3
