SPCD,ST_WD_CV_TOT,ST_BK_CV_TOT,ST_BK_DW_TOT,BRT_WDBK_DW_TOT,TT_WDBK_DW_ADJ,FOL_DW,RCUMIB,RCUMOB,ST_WDBK_CV_TOT
1_111,50,3,50,3,5,50,6,6,3
1_131,4,4,4,4,4,5,6,6,3
10,3,NA,NA,NA,NA,NA,6,NA,NA
100,3,3,NA,NA,NA,NA,6,6,3
105,4,3,4,3,3,3,6,6,3
107,4,3,3,NA,NA,NA,6,6,3
108,4,3,3,3,3,4,6,6,3
11,50,NA,NA,NA,NA,NA,6,NA,NA
110,4,4,3,3,3,3,6,6,3
111,4,50,3,3,4,3,6,6,3
115,3,3,3,NA,NA,NA,6,6,3
117,3,3,NA,NA,NA,NA,6,6,3
119,3,NA,NA,NA,NA,NA,6,NA,NA
12,4,5,4,3,4,3,6,6,3
121,50,4,3,3,3,3,6,6,3
122,4,3,3,3,3,3,6,6,3
123,4,3,3,NA,NA,NA,6,6,3
125,50,50,4,3,4,3,6,6,3
126,3,4,3,NA,NA,NA,6,6,3
128,50,4,3,NA,NA,NA,6,6,3
129,50,4,4,3,3,3,6,6,3
131,3,3,50,3,4,4,6,6,3
132,3,50,4,3,3,3,6,6,3
133,NA,NA,NA,NA,NA,3,NA,NA,NA
15,3,50,3,3,3,3,6,6,3
17,3,3,NA,NA,NA,3,6,6,3
19,4,3,4,3,4,3,6,6,3
20,3,3,NA,NA,NA,NA,6,6,3
202,4,3,3,3,3,4,6,6,3
211,3,3,NA,NA,NA,3,6,6,3
221,3,3,NA,NA,NA,NA,6,6,3
222,3,3,3,3,3,NA,6,6,3
241,4,3,3,3,4,3,6,6,3
242,4,3,3,NA,NA,NA,6,6,3
260,3,NA,NA,NA,NA,NA,6,NA,NA
261,50,50,3,3,4,3,6,6,3
263,50,3,3,3,3,3,6,6,3
264,3,NA,NA,NA,NA,NA,6,NA,NA
312,4,NA,NA,NA,NA,NA,6,NA,NA
313,3,3,3,3,3,3,6,6,3
316,3,4,3,3,50,3,6,6,3
317,3,3,3,3,3,3,6,6,3
318,4,3,3,3,3,3,6,6,3
330,3,3,NA,NA,NA,NA,6,6,3
351,4,4,NA,NA,NA,3,6,6,3
370,4,3,NA,NA,NA,NA,6,6,3
371,50,3,3,3,3,3,6,6,3
372,NA,NA,NA,NA,NA,NA,NA,6,3
375,4,4,3,3,3,3,6,6,3
391,NA,NA,3,3,3,3,NA,NA,NA
400,3,4,3,3,3,3,6,6,3
403,3,3,NA,NA,NA,NA,6,6,3
404,3,3,NA,NA,NA,NA,6,6,3
407,3,NA,NA,NA,NA,NA,6,6,3
42,3,3,NA,NA,NA,NA,6,6,3
421,3,3,NA,NA,NA,NA,6,6,3
43,4,3,NA,NA,NA,NA,6,6,3
460,3,3,NA,NA,NA,NA,6,6,3
461,3,3,3,3,3,3,6,6,3
491,3,3,3,3,3,3,6,6,3
521,4,3,NA,NA,NA,NA,6,6,3
531,50,3,3,3,3,3,6,6,3
540,3,4,3,3,3,3,6,6,3
541,3,3,3,3,3,3,6,6,3
543,3,3,3,NA,NA,NA,6,6,3
544,3,3,3,3,3,3,6,6,3
555,3,3,NA,NA,NA,NA,6,6,3
591,3,3,NA,NA,NA,NA,6,6,3
602,3,3,NA,NA,NA,NA,6,6,3
611,3,4,3,3,3,3,6,6,3
621,3,4,3,3,50,3,6,6,3
651,3,3,NA,NA,NA,NA,6,6,3
