"SPCD","DIVISION","STDORGCD","equation","alpha","beta"
10,"M240",,6,2.147431389753,0.92746923773
10,,,6,2.177173346087,0.92625095454
11,"240",,6,2.208273612174,0.969713769676
11,"M210",,6,2.105631041505,0.947732032311
11,"M240",,6,2.103722118704,0.922323443845
11,,,6,2.113106622793,0.929190947506
12,"130",,6,2.343627917849,0.976862365919
12,"210",,6,2.293457350224,0.925981160588
12,"220",,6,2.339763151145,0.88007672786
12,"M210",,6,2.293148240224,0.910626442435
12,,,6,2.301593201299,0.935973819242
15,"M260",,6,2.232047279167,0.952381921593
15,"M310",,6,2.221049475181,0.897115941072
15,"M330",,6,2.30357659062,0.953014664621
15,,,6,2.257776846651,0.940621816387
16,,,6,2.352150839605,0.957851079509
17,,,6,2.340424886334,0.942975637296
18,,,6,2.536137522093,0.957851079509
19,"M130",,6,2.320110973377,0.944196194528
19,"M210",,6,2.269228451003,0.94363173403
19,"M240",,6,2.247188943323,0.92633458046
19,"M330",,6,2.375135736701,0.940106386639
19,,,6,2.313075442296,0.942068064051
20,"M260",,6,2.276533765951,0.921498809692
20,,,6,2.278106425831,0.922310952194
42,"M240",,6,2.229238884166,0.880788176903
42,,,6,2.227740424304,0.880185807173
43,"230",,6,2.105142900444,0.838304364578
43,,,6,2.105142900444,0.838304364578
68,"220",,6,2.664090513437,0.902668289558
68,"230",,6,2.503447818814,0.860696033337
68,"250",,6,2.657568484582,0.894979896738
68,,,6,2.60561565012,0.888131695711
71,"130",,6,2.399296827165,0.912911902194
71,"210",,6,2.321172413646,0.980909679357
71,"M130",,6,2.261591116601,0.877919875096
71,"M210",,6,2.172703356992,0.893924748693
71,"M330",,6,2.040409030523,0.900461821461
71,,,6,2.161944086064,0.916408043626
73,,,6,1.969567775516,0.859797274195
81,"M260",,6,2.396385909197,0.929794576238
81,,,6,2.396385909197,0.929794576238
90,"130",,6,2.167576201683,0.889906580191
90,"M130",,6,2.310168684918,0.908845641784
90,"M210",,6,2.213528434424,0.880846554584
90,"M330",,6,2.184862175269,0.872213768073
90,,,6,2.236686857847,0.891060968642
91,"210",,6,2.448399030421,0.922257502293
91,,,6,2.448399030421,0.922257502293
93,"M130",,6,2.294715421867,0.88322675822
93,"M210",,6,2.269443401679,0.89630761229
93,"M240",,6,2.160410831561,0.834215416647
93,"M330",,6,2.215442933835,0.873904042709
93,"M340",,6,2.270978222549,0.984325744901
93,,,6,2.211907761028,0.870223249605
94,"130",,6,2.332421578774,0.930316456417
94,"210",,6,2.394046798558,0.910732301145
94,"220",,6,2.379224422561,0.871937001377
94,"M130",,6,2.394881838065,0.943185560343
94,,,6,2.341937233396,0.926382543492
95,"130",,6,2.241075582143,0.940708426857
95,"210",,6,2.323819900815,0.902376244678
95,"M130",,6,2.359380528754,0.951021215074
95,,,6,2.261894502651,0.926243141453
96,,,6,2.301919069966,0.926032280705
97,"130",,6,2.167631833133,0.950795034672
97,"210",,6,2.154319284768,0.933522052657
97,"M210",,6,2.205940617449,0.932134799842
97,,,6,2.176706538529,0.934178946991
98,"M240",,6,2.263824755873,0.934788716
98,,,6,2.263824755873,0.934788716
100,"130",,6,2.138393782563,0.967382549825
100,"M210",,6,2.169698485605,0.940791478137
100,,,6,2.141737610034,0.962800766158
101,,,6,2.25766401164,0.934541722478
105,"130",,6,2.196740555199,0.964476283976
105,"210",,6,2.280822734974,0.943947419491
105,"220",,6,2.196249999823,0.954218500461
105,,,6,2.215082911452,0.954692212347
107,"230",,6,2.158750231319,0.941275868204
107,,,6,2.158750231319,0.941275868204
108,"130",,6,2.032383710351,0.953157192343
108,"330",,6,2.148856844243,0.946196502241
108,"M130",,6,2.03792928813,0.959221478063
108,"M210",,6,2.063182221489,0.945642560532
108,"M240",,6,2.069084360977,0.960397312547
108,"M330",,6,2.113383128874,0.943498570525
108,,,6,2.06316538548,0.948682765405
110,"220",,6,1.99938403839,0.951978620504
110,"230",,6,2.063480561978,0.903307383985
110,"250",,6,2.027557064389,0.956767155749
