"SPCD","DIVISION","STDORGCD","equation","alpha","beta"
12,"130",,6,2.307138234658,0.919617774205
12,"210",,6,2.256494854552,0.929101469947
12,"220",,6,2.385795624417,0.933831836626
12,"M210",,6,2.268692670371,0.912654151757
12,,,6,2.290293338415,0.923304144356
15,"M260",,6,2.281307537384,0.935346691815
15,"M310",,6,2.25895348339,0.880677001029
15,"M330",,6,2.314050308374,0.935771018907
15,,,6,2.286492555572,0.923976554173
16,,,6,2.297842170057,0.942559224185
17,,,6,2.344739100852,0.932565061683
18,,,6,2.431042145105,0.942559224185
19,"M330",,6,2.455324416301,0.992885248756
19,,,6,2.443217781319,0.974403517709
20,"M260",,6,2.258270253529,0.903804319435
20,,,6,2.260578864688,0.904996599285
42,"M240",,6,2.244140496087,0.913681160395
42,,,6,2.244140496087,0.913681160395
43,"230",,6,2.100704540159,0.84703394036
43,,,6,2.104512570742,0.848892330294
68,"220",,6,2.637687139734,0.925679299474
68,"230",,6,2.486450201597,0.868528907592
68,,,6,2.565420642796,0.896177794421
70,,,6,2.282279868046,0.883333468058
71,"130",,6,2.311227844993,0.870122737772
71,"210",,6,2.310717292769,0.905502950613
71,,,6,2.31414720497,0.87926962056
73,,,6,2.05083267798,0.883333468058
81,"M260",,6,2.504316269517,0.902838067968
81,,,6,2.504316269517,0.902838067968
90,,,6,2.319395665449,0.924037454475
91,"210",,6,2.425115333367,0.921208491974
91,,,6,2.426885311937,0.921888258605
93,"M330",,6,2.316054364146,0.918526810669
93,"M340",,6,2.238474748867,0.94573696295
93,,,6,2.285884410155,0.929353274897
94,"130",,6,2.233513167314,0.889823346604
94,"210",,6,2.380687159278,0.915792217878
94,"M130",,6,2.277135883636,0.931583150475
94,,,6,2.247547562826,0.892936617578
95,"130",,6,2.202048385499,0.901607246417
95,"210",,6,2.295419501732,0.907234341416
95,"M130",,6,2.287326781482,0.939555564623
95,,,6,2.220640876897,0.903244638799
97,"130",,6,2.200532244909,0.891695910925
97,"210",,6,2.11969343597,0.929883580972
97,"M210",,6,2.192381616969,0.928607272531
97,,,6,2.162471773316,0.921406673027
98,"M240",,6,2.238794894984,0.936633343235
98,,,6,2.238794894984,0.936633343235
100,"130",,6,2.110191719824,0.945742440595
100,,,6,2.110191719824,0.945742440595
105,"130",,6,2.191458559312,0.923503345596
105,"210",,6,2.280209057975,0.931641134905
105,"220",,6,2.127630401028,0.924409074799
105,,,6,2.204858649928,0.924734369895
107,"230",,6,2.164143489136,0.917954645888
107,,,6,2.164143489136,0.917954645888
108,"130",,6,2.027520610841,0.957326182931
108,"330",,6,2.114226943554,0.926405003971
108,"M130",,6,2.12410357755,0.992398762612
108,"M330",,6,2.204433240999,0.996077592276
108,,,6,2.069631914771,0.96037752551
110,"220",,6,2.010776058304,0.924693380566
110,"230",,6,2.063275681077,0.886018608685
110,"M220",,6,2.020889449807,0.946288783297
110,"M230",,6,2.052449175268,0.944128713816
110,,,6,2.048385017296,0.897850093982
111,"230",0,6,2.031462229442,0.829936344786
111,,0,6,2.031149553878,0.829797693464
111,"230",1,6,2.1271005837,0.85574289238
111,,1,6,2.1271005837,0.85574289238
