"SPCD","DIVISION","STDORGCD","equation","a","a0","a1","b","b0","b1","b2","c","c1"
11,,,1,0.349568157342,,,2.036595584523,,,,0.610614133728,
12,"210",,2,,0.328925370955,,,2.068305047013,2.173714587642,,0.600489623322,
12,,,2,,0.32813665408,,,2.068856430973,2.178341623809,,0.600282408601,
15,"M260",,1,0.014607388134,,,1.512436368122,,,,1.712119049885,
15,,,1,0.073497617981,,,1.998948783387,,,,1.008150026378,
16,,,1,0.349568157342,,,2.068859341594,,,,0.610614133728,
17,,,1,0.349568157342,,,2.083812738767,,,,0.610614133728,
19,,,2,,0.443491133807,,,2.038793267282,2.314536597768,,0.520420476226,
20,,,1,0.349568157342,,,2.070000431228,,,,0.610614133728,
68,,,1,0.301398903966,,,2.034237148178,,,,0.695059530801,
71,"210",,1,0.664116473894,,,2.010379451942,,,,0.509202779944,
71,,,1,0.882434651649,,,2.025368218425,,,,0.435750123832,
73,,,1,0.301398903966,,,1.991589532263,,,,0.695059530801,
93,"M330",,1,0.213931592901,,,1.677418630404,,,,0.941537364477,
93,,,1,0.286625446843,,,1.737783775068,,,,0.837560421514,
94,"210",,1,0.039235478628,,,2.226011879492,,,,1.144335463849,
94,,,1,0.218052109909,,,2.489339297769,,,,0.52061755583,
95,"210",,1,0.31361966289,,,2.122370910624,,,,0.620711259738,
95,,,1,0.31361966289,,,2.122370910624,,,,0.620711259738,
97,,,1,0.371615725147,,,2.043904648266,,,,0.646763187053,
98,,,1,0.371615725147,,,1.970403305344,,,,0.646763187053,
105,"210",,1,0.495643869243,,,2.109006809392,,,,0.508476798004,
105,,,1,0.495643869243,,,2.109006809392,,,,0.508476798004,
108,"M330",,1,0.181923395799,,,2.064633748206,,,,0.783734848238,
108,,,1,0.303679971574,,,2.060661230697,,,,0.658443677324,
110,"230",,1,0.057622485451,,,2.148749824087,,,,1.021064661539,
110,"M230",,1,0.748830040733,,,2.118508655491,,,,0.435975843233,
110,,,1,0.186963564085,,,2.190099939674,,,,0.725056549264,
111,"230",0,2,,0.177868613979,,,2.180014221873,1.976884887621,,0.783195359668,
111,,0,2,,0.177868613979,,,2.180014221873,1.976884887621,,0.783195359668,
111,"230",1,3,0.358815475473,,1.849604207438,,,0.149984321283,,0.841295541293,0.332484731464
111,,1,3,0.358815475473,,1.849604207438,,,0.149984321283,,0.841295541293,0.332484731464
116,,,1,0.14883068169,,,2.057563892512,,,,0.810673827207,
121,"230",,1,0.112404906348,,,2.075821406545,,,,0.926658281923,
121,,,1,0.112404906348,,,2.075821406545,,,,0.926658281923,
122,"M260",,1,0.23095963994,,,2.180139621801,,,,0.636401463819,
122,"M310",,1,0.231449281212,,,1.925735741724,,,,0.805486816432,
122,"M330",,1,0.388690009984,,,2.095942334529,,,,0.554494315916,
122,,,1,0.380820507064,,,2.118642907038,,,,0.552282326861,
123,,,1,0.14883068169,,,2.151179164473,,,,0.810673827207,
125,"210",,2,,0.163474810874,,,2.033616763892,2.140153968635,,0.782544188706,
125,,,2,,0.156724247043,,,2.014189076081,2.123600696673,,0.805766855965,
126,,,1,0.14883068169,,,2.190447581413,,,,0.810673827207,
129,"210",,1,0.272341852291,,,1.978761045862,,,,0.706249069063,
129,"M220",,1,0.370462953916,,,2.217732339247,,,,0.489143000817,
129,,,1,0.278363854841,,,2.106451785735,,,,0.623519753289,
131,"230",0,2,,0.04592891185,,,1.956540143489,1.955393941701,,1.154203033178,
131,,0,2,,0.047222700317,,,1.95514623273,1.971465941616,,1.146284919272,
131,"230",1,2,,0.078468409485,,,1.688933864687,2.15757669198,,1.157707855718,
131,,1,2,,0.078468409485,,,1.688933864687,2.15757669198,,1.157707855718,
132,"M220",,1,0.74457255698,,,2.211839980178,,,,0.37445989986,
132,,,1,0.784128198189,,,2.287530154499,,,,0.322580619967,
202,"240",,1,0.135206506787,,,1.713527048035,,,,1.047613377046,
202,"M240",,1,0.120040708284,,,1.71368784978,,,,1.061101895334,
202,"M260",,1,0.017636841431,,,1.546946282293,,,,1.607689585711,
202,"M330",,1,0.142806947223,,,1.970143962513,,,,0.878880818217,
202,,,1,0.174719172381,,,1.726525291449,,,,0.984599765381,
211,,,1,0.301398903966,,,1.904691555653,,,,0.695059530801,
221,,,1,0.301398903966,,,1.844257380076,,,,0.695059530801,
222,"230",,1,0.110459156957,,,1.538421674506,,,,1.171293113459,
222,,,1,0.110459156957,,,1.538421674506,,,,1.171293113459,
241,"210",,2,,0.393287534486,,,1.92033584273,2.03034022408,,0.560517315904,
241,,,2,,0.393287534486,,,1.92033584273,2.03034022408,,0.560517315904,
261,"210",,2,,0.428326758107,,,1.859288817207,2.075952205032,,0.673695107632,
261,"M220",,2,,0.435207621687,,,2.125444089217,2.041079911042,,0.547532483326,
261,,,2,,0.401758567214,,,1.891153445533,2.055171185283,,0.676829753168,
263,,,1,0.116109718057,,,1.895372365348,,,,0.955815801565,
264,,,1,0.349568157342,,,2.074751580894,,,,0.610614133728,
313,"230",,1,0.219077829246,,,2.346551450282,,,,0.566149294836,
313,,,1,0.219077829246,,,2.346551450282,,,,0.566149294836,
316,"210",,4,0.181426444809,,,1.710544261839,,,-0.025073986112,0.953960977646,
316,"230",,4,0.480472825579,,,1.901115541742,,,-0.02626186328,0.597190558207,
316,"M220",,4,1.742544317943,,,1.672298097616,,,-0.065397569653,0.340272222219,
316,,,4,0.31573027567,,,1.853839844372,,,-0.024745684975,0.740557378679,
317,,,1,4.724200784767,,,2.266637564767,,,,-0.062750912651,
318,"210",,1,0.197488975658,,,1.931805897543,,,,0.92308400988,
318,,,1,0.030114004393,,,1.9069217656,,,,1.385635014761,
370,,,1,0.531644988679,,,2.204051341369,,,,0.51714489142,
371,"210",,1,0.065196083341,,,1.904929820382,,,,1.186839134203,
371,,,1,0.09327297117,,,1.909935930296,,,,1.100520352863,
375,"210",,1,0.921838183418,,,2.20808746017,,,,0.365204161733,
375,"M210",,1,0.092749056712,,,1.907269893972,,,,1.052397971383,
375,,,1,0.731333336881,,,2.201429774661,,,,0.423109579949,
391,,,1,0.592401107783,,,2.287871269856,,,,0.476750767252,
400,"230",,1,0.154205458967,,,2.406949281889,,,,0.708207967635,
400,"M220",,1,0.138758302497,,,2.116086022022,,,,0.914738151202,
400,,,1,0.142494349537,,,2.231464781487,,,,0.835308377244,
402,,,1,0.426589681353,,,2.160514867821,,,,0.63732371526,
403,,,1,0.426589681353,,,2.165065940292,,,,0.63732371526,
460,,,1,0.359289578385,,,2.063221986497,,,,0.610643492497,
461,"230",,1,0.068502885475,,,2.112095281571,,,,1.010901178166,
461,,,1,0.068502885475,,,2.112095281571,,,,1.010901178166,
462,,,1,0.359289578385,,,2.199636684056,,,,0.610643492497,
471,,,1,0.359289578385,,,2.21498290406,,,,0.610643492497,
491,"230",,1,0.15084107702,,,1.863068053042,,,,1.025042671847,
491,,,1,0.23812120254,,,1.981857962322,,,,0.847835409299,
521,,,1,0.359289578385,,,2.168847161765,,,,0.610643492497,
531,"210",,1,0.114158761541,,,1.796155885907,,,,1.118192131559,
531,,,1,0.032731338577,,,2.059145479984,,,,1.260862209803,
540,"230",,1,0.475068336478,,,1.944479885181,,,,0.617967860489,
540,,,1,0.398124318128,,,2.167230187013,,,,0.573789458407,
541,"210",,1,0.505880957853,,,1.841960689401,,,,0.716696756142,
541,,,1,0.818458153961,,,1.873535736532,,,,0.581382983044,
543,,,1,0.359289578385,,,2.125186017823,,,,0.610643492497,
544,"230",,1,0.306533829843,,,1.812211916941,,,,0.803589437436,
544,,,1,0.225581809898,,,1.792987614408,,,,0.883721143468,
591,,,1,0.359289578385,,,2.176037856334,,,,0.610643492497,
602,,,1,0.359289578385,,,2.179254712435,,,,0.610643492497,
611,"230",,1,0.17655229941,,,2.219508076415,,,,0.698773109435,
611,,,1,0.176429479402,,,2.219442714636,,,,0.698966292324,
621,"230",,4,0.250574060016,,,2.114664101281,,,-0.003592877036,0.657241844473,
621,"M220",,4,0.15431734915,,,2.568115687162,,,0.011588086045,0.543413156243,
621,,,4,0.284661872307,,,2.00110331426,,,-0.016648395776,0.650792314223,
653,,,1,0.359289578385,,,2.055452878027,,,,0.610643492497,
