"DIVISION","ECODIVISION","variable","STATUSCD","CRM","CRM2","DIFF","PDIFF","VAR2"
"","","BIOMASS",1,190540900129.199,200719784816.001,10178884686.8022,5.34209961215693,"Total aboveground biomass"
"","","CARBON",1,95270450413.6721,98254886370.1267,2984435956.45461,3.13259352033704,"Total aboveground carbon"
"","","VMERIB",1,4529727384.54241,4498946095.48268,-30781289.0597343,-0.679539549438996,"Merchantable wood volume"
"","","WMERBCH",1,27030848012.4496,46880423007.4379,19849574994.9883,73.433045777351,"Top and limb weight"
"","","WMEROB",1,139274475441.878,129975607289.747,-9298868152.13072,-6.67664920124674,"Merch bole wood and bark weight"
"","","WSTPOB",1,8025566528.34937,7253627545.25196,-771938983.097408,-9.61849833741487,"Stump wood and bark weight"
"","","VSAWIB",1,3059724716.06215,2890131076.19935,-169593639.862803,-5.54277445197977,"Sawlog wood volume"
"","","BIOMASS",2,13003919428.1028,16272294566.3843,3268375138.2816,25.1337695250427,"Total aboveground biomass"
"","","CARBON",2,6501959731.80932,8146705465.48927,1644745733.67995,25.2961537985757,"Total aboveground carbon"
"","","VMERIB",2,370157405.399007,392264251.919381,22106846.5203732,5.9722826554134,"Merchantable wood volume"
"","","WMERBCH",2,515583355.21344,1360762664.06721,845179308.853772,163.926802583432,"Top and limb weight"
"","","WMEROB",2,11330354378.3207,13567948062.247,2237593683.9263,19.7486645978847,"Merch bole wood and bark weight"
"","","WSTPOB",2,839273004.782793,1034265264.88915,194992260.106362,23.2334721830862,"Stump wood and bark weight"
"10","13","BIOMASS",1,44956845686.6557,64261786320.8637,19304940634.208,42.9410478857019,"Total aboveground biomass"
"10","13","CARBON",1,22478423061.8477,32269468551.6414,9791045489.79367,43.5575283143943,"Total aboveground carbon"
"10","13","VMERIB",1,899628549.86794,969432385.469911,69803835.6019703,7.75918412240442,"Merchantable wood volume"
"10","13","WMERBCH",1,6077039083.32503,16495684259.8532,10418645176.5281,171.442787082218,"Top and limb weight"
"10","13","WMEROB",1,25905779864.4415,31770578447.8086,5864798583.36702,22.6389578466892,"Merch bole wood and bark weight"
