"SPCD","COMMON_NAME","HWSW","DIVISION","ECODIVISION","variable","STATUSCD","CRM","CRM2","DIFF","PDIFF","VAR2"
"10","fir spp.","Softwood","220","221","BIOMASS",1,10325464.3864761,9884175.05635508,-441289.330121012,-4.27379644734427,"Total aboveground biomass"
"10","fir spp.","Softwood","220","221","CARBON",1,5162732.24664735,4748357.69707298,-414374.549574372,-8.02626457809167,"Total aboveground carbon"
"10","fir spp.","Softwood","220","221","VMERIB",1,313439.763915897,124086.812693233,-189352.951222664,-60.4112729211575,"Merchantable wood volume"
"10","fir spp.","Softwood","220","221","WMERBCH",1,1577744.41543268,6547458.57023057,4969714.15479789,314.988543530037,"Top and limb weight"
"10","fir spp.","Softwood","220","221","WMEROB",1,8168157.9887747,2792188.97948679,-5375969.00928791,-65.8161732017913,"Merch bole wood and bark weight"
"10","fir spp.","Softwood","220","221","WSTPOB",1,579561.982268706,544527.506637699,-35034.4756310078,-6.04499202895688,"Stump wood and bark weight"
"100","pine spp.","Softwood","M220","M221","BIOMASS",2,57292276.035938,106780894.491374,49488618.4554363,86.3792152791998,"Total aboveground biomass"
"100","pine spp.","Softwood","M220","M221","CARBON",2,28646138.1911906,51035928.5221524,22389790.3309618,78.1598908080642,"Total aboveground carbon"
"100","pine spp.","Softwood","M220","M221","VMERIB",2,2674935.45266108,1702541.05416746,-972394.398493617,-36.3520696369051,"Merchantable wood volume"
"100","pine spp.","Softwood","M220","M221","WMERBCH",2,1114760.23766619,5709305.32723442,4594545.08956823,412.155451398871,"Top and limb weight"
"100","pine spp.","Softwood","M220","M221","WMEROB",2,50971589.7517634,91930136.6381995,40958546.8864361,80.3556394570156,"Merch bole wood and bark weight"
"100","pine spp.","Softwood","M220","M221","WSTPOB",2,5205926.04650846,9141452.52594041,3935526.47943196,75.5970492909991,"Stump wood and bark weight"
"101","whitebark pine","Softwood","M260","M261","BIOMASS",1,6617309655.45559,9598228589.19487,2980918933.73928,45.0472939751532,"Total aboveground biomass"
"101","whitebark pine","Softwood","M260","M261","CARBON",1,3308654850.63458,4587473354.20569,1278818503.57111,38.6507073509296,"Total aboveground carbon"
"101","whitebark pine","Softwood","M260","M261","VMERIB",1,158466371.329477,180557633.203258,22091261.8737807,13.9406624184316,"Merchantable wood volume"
"101","whitebark pine","Softwood","M260","M261","WMERBCH",1,833356336.731724,4153481800.57463,3320125463.84291,398.404058084427,"Top and limb weight"
"101","whitebark pine","Softwood","M260","M261","WMEROB",1,4889962893.23483,4407083711.26075,-482879181.974084,-9.87490483091677,"Merch bole wood and bark weight"
"101","whitebark pine","Softwood","M260","M261","WSTPOB",1,278491836.264633,410149646.573831,131657810.309198,47.2752853638741,"Stump wood and bark weight"
"101","whitebark pine","Softwood","M260","M261","BIOMASS",2,922081705.682428,1506369366.06283,584287660.380407,63.3661482252246,"Total aboveground biomass"
"101","whitebark pine","Softwood","M260","M261","CARBON",2,461040853.882962,719969238.509732,258928384.62677,56.1617007356361,"Total aboveground carbon"
"101","whitebark pine","Softwood","M260","M261","VMERIB",2,29166933.7934263,32769761.6757976,3602827.88237135,12.3524396081132,"Merchantable wood volume"
"101","whitebark pine","Softwood","M260","M261","WMERBCH",2,68272740.6124672,689124304.583675,620851563.971207,909.369623075941,"Top and limb weight"
"101","whitebark pine","Softwood","M260","M261","WMEROB",2,807232616.469487,745812220.896253,-61420395.5732342,-7.60876038952222,"Merch bole wood and bark weight"
"101","whitebark pine","Softwood","M260","M261","WSTPOB",2,46576348.6004735,71432840.5829064,24856491.9824329,53.3671975784297,"Stump wood and bark weight"
"101","whitebark pine","Softwood","M260","M261","VSAWIB",1,104259354.691026,117005387.523357,12746032.832331,12.2253133736575,"Sawlog wood volume"
"101","whitebark pine","Softwood","340","341","BIOMASS",1,319692921.457996,435788219.154082,116095297.696086,36.3146287902215,"Total aboveground biomass"
"101","whitebark pine","Softwood","340","341","CARBON",1,159846462.294784,208284979.344694,48438517.0499093,30.30315238418,"Total aboveground carbon"
"101","whitebark pine","Softwood","340","341","VMERIB",1,6524548.7617526,7586025.56891799,1061476.80716539,16.2689688731863,"Merchantable wood volume"
"101","whitebark pine","Softwood","340","341","VSAWIB",1,4355667.81667606,4990768.53040347,635100.713727407,14.5810181230044,"Sawlog wood volume"
"101","whitebark pine","Softwood","340","341","WMERBCH",1,33585082.8051825,165882343.092407,132297260.287225,393.91673099228,"Top and limb weight"
"101","whitebark pine","Softwood","340","341","WMEROB",1,201334838.790979,185922976.532953,-15411862.2580259,-7.6548412339238,"Merch bole wood and bark weight"
"101","whitebark pine","Softwood","340","341","WSTPOB",1,10714339.5661999,15195142.1656915,4480802.5994916,41.8206140640438,"Stump wood and bark weight"
"101","whitebark pine","Softwood","340","341","BIOMASS",2,256978978.16528,283777276.738628,26798298.5733489,10.4282065267273,"Total aboveground biomass"
"101","whitebark pine","Softwood","340","341","CARBON",2,128489489.450132,135631349.417228,7141859.96709572,5.55832231699197,"Total aboveground carbon"
"101","whitebark pine","Softwood","340","341","VMERIB",2,7567358.16991,6596765.52109283,-970592.648817169,-12.8260434754697,"Merchantable wood volume"
"101","whitebark pine","Softwood","340","341","WMERBCH",2,28285898.275822,83784316.6152301,55498418.3394082,196.205253226293,"Top and limb weight"
"101","whitebark pine","Softwood","340","341","WMEROB",2,212840381.116455,184130946.346328,-28709434.7701266,-13.4887161071274,"Merch bole wood and bark weight"
"101","whitebark pine","Softwood","340","341","WSTPOB",2,15852698.7730027,15862013.77707,9315.00406729989,0.0587597367532362,"Stump wood and bark weight"
"101","whitebark pine","Softwood","M330","M332","BIOMASS",1,33130118115.5506,37276498333.5516,4146380218.00106,12.5154404929659,"Total aboveground biomass"
"101","whitebark pine","Softwood","M330","M332","CARBON",1,16565059162.3147,17816302378.521,1251243216.20626,7.55350888847306,"Total aboveground carbon"
"101","whitebark pine","Softwood","M330","M332","VMERIB",1,795500842.828489,757516539.305127,-37984303.5233617,-4.77489167557691,"Merchantable wood volume"
"101","whitebark pine","Softwood","M330","M332","WMERBCH",1,4289421411.31297,11111803522.5155,6822382111.20254,159.05133716191,"Top and limb weight"
"101","whitebark pine","Softwood","M330","M332","WMEROB",1,24551536363.1766,20741806119.3123,-3809730243.8643,-15.5172783792801,"Merch bole wood and bark weight"
"101","whitebark pine","Softwood","M330","M332","WSTPOB",1,1508325085.81496,1555016376.15057,46691290.3356173,3.09557208686148,"Stump wood and bark weight"
"101","whitebark pine","Softwood","M330","M332","VSAWIB",1,457674543.02028,423869552.077198,-33804990.9430826,-7.38625109449984,"Sawlog wood volume"
"101","whitebark pine","Softwood","M330","M332","BIOMASS",2,46403803194.5975,64879233143.3103,18475429948.7128,39.8144735491504,"Total aboveground biomass"
"101","whitebark pine","Softwood","M330","M332","CARBON",2,23201901634.7338,31009029480.8452,7807127846.11138,33.6486550499978,"Total aboveground carbon"
