"spcd","CARBON_RATIO"
10,0.48
11,0.493
12,0.506
14,0.48
15,0.51
16,0.48
17,0.481
18,0.48
19,0.482
20,0.515
21,0.48
22,0.508
40,0.48
41,0.479
42,0.478
43,0.475
50,0.479
51,0.479
52,0.479
53,0.479
54,0.479
55,0.479
56,0.479
57,0.477
58,0.477
59,0.477
60,0.481
61,0.477
62,0.477
63,0.476
64,0.48
65,0.469
66,0.477
67,0.521
68,0.521
69,0.477
70,0.476
71,0.476
72,0.476
73,0.476
74,0.481
75,0.476
81,0.538
90,0.48
91,0.478
92,0.48
93,0.481
94,0.512
95,0.48
96,0.48
97,0.48
98,0.5
100,0.478
101,0.478
102,0.478
103,0.479
104,0.478
105,0.479
106,0.476
107,0.477
108,0.503
109,0.478
110,0.477
111,0.513
112,0.502
113,0.48
114,0.47
115,0.479
116,0.519
117,0.481
118,0.494
119,0.48
120,0.477
121,0.474
122,0.513
123,0.476
124,0.479
125,0.533
126,0.477
127,0.479
128,0.475
129,0.507
130,0.471
131,0.477
132,0.477
133,0.478
134,0.478
135,0.478
136,0.528
137,0.478
138,0.473
139,0.478
140,0.485
141,0.478
142,0.478
143,0.478
144,0.513
200,0.477
201,0.477
202,0.516
211,0.531
212,0.538
220,0.478
221,0.478
222,0.478
223,0.453
230,0.472
231,0.472
232,0.472
240,0.483
241,0.501
242,0.504
250,0.479
251,0.479
252,0.479
260,0.479
261,0.48
262,0.479
263,0.507
264,0.478
299,0.479
300,0.475
303,0.475
304,0.454
310,0.477
311,0.477
312,0.496
313,0.487
314,0.475
315,0.478
316,0.486
317,0.478
318,0.485
319,0.477
320,0.477
321,0.477
322,0.477
323,0.477
330,0.481
331,0.481
332,0.481
333,0.481
334,0.481
336,0.481
337,0.481
341,0.477
345,0.475
350,0.48
351,0.483
352,0.48
353,0.48
355,0.48
356,0.47
357,0.47
358,0.47
360,0.473
361,0.473
362,0.473
363,0.499
367,0.475
370,0.475
371,0.488
372,0.472
373,0.476
374,0.475
375,0.519
376,0.476
377,0.475
378,0.475
379,0.477
381,0.475
391,0.473
400,0.471
401,0.472
402,0.472
403,0.47
404,0.472
405,0.471
406,0.473
407,0.471
408,0.471
409,0.471
410,0.471
411,0.471
412,0.471
413,0.471
420,0.479
421,0.464
422,0.479
423,0.479
424,0.479
431,0.478
450,0.48
451,0.469
452,0.48
460,0.476
461,0.448
462,0.476
463,0.448
471,0.438
475,0.475
481,0.475
490,0.472
491,0.459
492,0.473
500,0.475
501,0.475
502,0.475
503,0.475
504,0.475
505,0.475
506,0.475
507,0.475
508,0.475
509,0.475
510,0.475
511,0.478
512,0.454
513,0.475
514,0.475
520,0.471
521,0.471
522,0.471
523,0.475
531,0.478
540,0.475
541,0.474
542,0.476
543,0.48
544,0.486
545,0.476
546,0.474
547,0.475
548,0.475
549,0.475
550,0.472
551,0.472
552,0.423
555,0.475
561,0.475
571,0.474
580,0.478
581,0.478
582,0.478
583,0.478
591,0.527
600,0.478
601,0.485
602,0.467
603,0.478
604,0.478
605,0.478
606,0.42
611,0.445
621,0.457
631,0.473
641,0.466
650,0.478
651,0.478
652,0.436
653,0.478
654,0.465
655,0.479
657,0.478
658,0.474
660,0.472
661,0.472
662,0.472
663,0.472
664,0.472
680,0.475
681,0.511
682,0.475
683,0.475
684,0.475
690,0.477
691,0.477
692,0.477
693,0.451
694,0.477
701,0.471
711,0.476
712,0.475
715,0.467
718,0.48
720,0.475
721,0.475
722,0.475
729,0.477
730,0.477
731,0.493
732,0.477
740,0.481
741,0.482
742,0.468
743,0.48
744,0.481
745,0.478
746,0.479
747,0.482
748,0.479
749,0.481
752,0.481
753,0.481
755,0.466
756,0.459
757,0.466
758,0.466
760,0.477
761,0.477
762,0.477
763,0.477
764,0.477
765,0.477
766,0.477
768,0.477
769,0.477
770,0.477
771,0.505
772,0.477
773,0.477
774,0.477
800,0.472
801,0.444
802,0.496
803,0.472
804,0.471
805,0.469
806,0.472
807,0.472
808,0.472
809,0.472
810,0.472
811,0.472
812,0.475
813,0.472
814,0.423
815,0.471
816,0.472
817,0.472
818,0.475
819,0.472
820,0.473
821,0.474
822,0.473
823,0.473
824,0.472
825,0.472
826,0.472
827,0.473
828,0.472
829,0.472
830,0.473
831,0.473
832,0.473
833,0.478
834,0.472
835,0.472
836,0.472
837,0.473
838,0.48
839,0.472
840,0.472
841,0.472
842,0.472
843,0.472
844,0.472
845,0.472
846,0.472
847,0.465
851,0.487
852,0.475
853,0.475
854,0.44
855,0.475
856,0.475
857,0.475
858,0.475
859,0.475
860,0.475
863,0.475
864,0.475
865,0.475
866,0.475
867,0.425
