CN,STATECD,INVYR,UNITCD,COUNTYCD,PLOT,LAT,LON,CONGCD,ECOSUBCD,HUC,EMAP_HEX,FIPSCOUNTY,ROADLESSCD,CREATED_DATE,MODIFIED_DATE,ALP_ADFORCD,FVS_VARIANT,FVS_LOC_CD,FVS_REGION,FVS_FOREST,FVS_DISTRICT,ECO_UNIT_PNW,PRECIPITATION
9187278010661,10.0,1986.0,1.0,1.0,1.0,38.94456,-75.61076,1000.0,232Hd,2080109.0,1833.0,10001.0,,2024-10-21 11:05:06,2024-10-21 11:05:06,,NE,921,9,21,,,
9187313010661,10.0,1986.0,1.0,1.0,2.0,39.27789,-75.52742,1000.0,232Ac,2040207.0,1832.0,10001.0,,2024-10-21 11:05:06,2024-10-21 11:05:06,,NE,921,9,21,,,
9187346010661,10.0,1986.0,1.0,1.0,3.0,38.91678,-75.52742,1000.0,232Hd,2040207.0,1720.0,10001.0,,2024-10-21 11:05:06,2024-10-21 11:05:06,,NE,921,9,21,,,
9187385010661,10.0,1986.0,1.0,1.0,4.0,39.00011,-75.6941,1000.0,232Hd,2060005.0,1833.0,10001.0,,2024-10-21 11:05:06,2024-10-21 11:05:06,,NE,921,9,21,,,
9187421010661,10.0,1986.0,1.0,1.0,5.0,38.86122,-75.6941,1000.0,232Hd,2080109.0,1834.0,10001.0,,2024-10-21 11:05:06,2024-10-21 11:05:06,,NE,921,9,21,,,
9187451010661,10.0,1986.0,1.0,1.0,6.0,39.41678,-75.66632,1000.0,232Hd,2040205.0,1946.0,10003.0,,2024-10-21 11:05:06,2024-10-21 11:05:06,,NE,921,9,21,,,
9187484010661,10.0,1986.0,1.0,1.0,7.0,38.86122,-75.72187,1000.0,232Hd,2080109.0,1834.0,10001.0,,2024-10-21 11:05:06,2024-10-21 11:05:06,,NE,921,9,21,,,
9187525010661,10.0,1986.0,1.0,1.0,8.0,38.91678,-75.72187,1000.0,232Hd,2060005.0,1834.0,10001.0,,2024-10-21 11:05:06,2024-10-21 11:05:06,,NE,921,9,21,,,
9187556010661,10.0,1986.0,1.0,1.0,9.0,38.94456,-75.72187,1000.0,232Hd,2060005.0,1834.0,10001.0,,2024-10-21 11:05:06,2024-10-21 11:05:06,,NE,921,9,21,,,
9187603010661,10.0,1986.0,1.0,1.0,11.0,39.02789,-75.72187,1000.0,232Hd,2060005.0,1833.0,10001.0,,2024-10-21 11:05:06,2024-10-21 11:05:06,,NE,921,9,21,,,
9187683010661,10.0,1986.0,1.0,1.0,12.0,39.22233,-75.72188,1000.0,232Hd,2060002.0,1947.0,10001.0,,2024-10-21 11:05:06,2024-10-21 11:05:06,,NE,921,9,21,,,
9187721010661,10.0,1986.0,1.0,1.0,13.0,38.889,-75.63854,1000.0,232Hd,2080109.0,1834.0,10001.0,,2024-10-21 11:05:06,2024-10-21 11:05:06,,NE,921,9,21,,,
9187723010661,10.0,1986.0,1.0,1.0,14.0,39.11122,-75.61076,1000.0,232Hd,2040207.0,1833.0,10001.0,,2024-10-21 11:05:06,2024-10-21 11:05:06,,NE,921,9,21,,,
9187776010661,10.0,1986.0,1.0,1.0,15.0,39.16678,-75.61076,1000.0,232Hd,2040207.0,1833.0,10001.0,,2024-10-21 11:05:06,2024-10-21 11:05:06,,NE,921,9,21,,,
9187817010661,10.0,1986.0,1.0,1.0,16.0,39.19456,-75.61076,1000.0,232Hd,2040207.0,1833.0,10001.0,,2024-10-21 11:05:06,2024-10-21 11:05:06,,NE,921,9,21,,,
9187854010661,10.0,1986.0,1.0,1.0,17.0,38.97233,-75.33297,1000.0,232Ac,2040207.0,1720.0,10001.0,,2024-10-21 11:05:06,2024-10-21 11:05:06,,NE,921,9,21,,,
9187888010661,10.0,1986.0,1.0,1.0,18.0,38.91678,-75.63854,1000.0,232Hd,2080109.0,1834.0,10001.0,,2024-10-21 11:05:06,2024-10-21 11:05:06,,NE,921,9,21,,,
9187890010661,10.0,1986.0,1.0,1.0,19.0,38.94456,-75.63854,1000.0,232Hd,2080109.0,1834.0,10001.0,,2024-10-21 11:05:06,2024-10-21 11:05:06,,NE,921,9,21,,,
