CN,EVAL_CN,RSCD,EVALID,ESTN_UNIT,ESTN_UNIT_DESCR,STATECD,AREALAND_EU,AREATOT_EU,AREA_USED,AREA_SOURCE,P1PNTCNT_EU,P1SOURCE,CREATED_DATE,MODIFIED_DATE
242946837010661,242933179010661,24,100903,1,Inland Census Water Public Unit 1,10,,180816.5,180816.5,Pixel count,813044,NLCD LANDSAT 2001 Tree Canopy Cover,2010-12-16 08:08:59,2014-05-20 14:31:41
242946838010661,242933179010661,24,100903,2,Private Unit 1,10,,1116015.4,1116015.4,Pixel count,5018171,NLCD LANDSAT 2001 Tree Canopy Cover,2010-12-16 08:09:00,2014-05-20 14:31:41
233707255010661,233707240010661,24,100901,1,Inland Census Water Unit 1,10,,45985.3,45985.3,Pixel count,206774,NLCD LANDSAT 2001 Tree Canopy Cover,2010-08-30 07:32:49,2014-05-20 14:32:42
233707256010661,233707240010661,24,100901,2,Private Unit 1,10,,1116015.4,1116015.4,Pixel count,5018171,NLCD LANDSAT 2001 Tree Canopy Cover,2010-08-30 07:32:49,2014-05-20 14:32:42
233707257010661,233707240010661,24,100901,3,Public Unit 1,10,,134831.2,134831.2,Pixel count,606270,NLCD LANDSAT 2001 Tree Canopy Cover,2010-08-30 07:32:49,2014-05-20 14:32:42
30663028020004,30663018020004,24,101007,1,Inland Census Water Public State 10,10,,180816.8,180816.8,Pixel count,813044,NLCD LANDSAT 2001 Tree Canopy Cover,2012-03-05 11:49:53,2014-05-20 14:32:46
30663029020004,30663018020004,24,101007,2,Private State 10,10,,1116015.3,1116015.3,Pixel count,5018171,NLCD LANDSAT 2001 Tree Canopy Cover,2012-03-05 11:49:57,2014-05-20 14:32:46
246814743010661,246814721010661,24,101000,1,Inland Census Water Unit 1,10,,45985.3,45985.3,Pixel count,206774,NLCD LANDSAT 2001 Tree Canopy Cover,2011-03-21 09:22:08,2014-05-20 14:32:29
246814744010661,246814721010661,24,101000,2,Private Unit 1,10,,1116015.4,1116015.4,Pixel count,5018171,NLCD LANDSAT 2001 Tree Canopy Cover,2011-03-21 09:22:09,2014-05-20 14:32:29
246814745010661,246814721010661,24,101000,3,Public Unit 1,10,,134831.2,134831.2,Pixel count,606270,NLCD LANDSAT 2001 Tree Canopy Cover,2011-03-21 09:22:10,2014-05-20 14:32:29
246814747010661,246814722010661,24,101001,1,Inland Census Water Unit 1,10,,45985.3,45985.3,Pixel count,206774,NLCD LANDSAT 2001 Tree Canopy Cover,2011-03-21 09:22:43,2014-05-20 14:32:29
246814748010661,246814722010661,24,101001,2,Private Unit 1,10,,1116015.4,1116015.4,Pixel count,5018171,NLCD LANDSAT 2001 Tree Canopy Cover,2011-03-21 09:22:43,2014-05-20 14:32:33
246814749010661,246814722010661,24,101001,3,Public Unit 1,10,,134831.2,134831.2,Pixel count,606270,NLCD LANDSAT 2001 Tree Canopy Cover,2011-03-21 09:22:43,2014-05-20 14:32:33
246814810010661,246814723010661,24,101003,1,Inland Census Water Unit 1,10,,45985.3,45985.3,Pixel count,206774,NLCD LANDSAT 2001 Tree Canopy Cover,2011-03-21 09:23:06,2014-05-20 14:32:33
246814811010661,246814723010661,24,101003,2,Private Unit 1,10,,1116015.4,1116015.4,Pixel count,5018171,NLCD LANDSAT 2001 Tree Canopy Cover,2011-03-21 09:23:07,2014-05-20 14:32:33
246814812010661,246814723010661,24,101003,3,Public Unit 1,10,,134831.2,134831.2,Pixel count,606270,NLCD LANDSAT 2001 Tree Canopy Cover,2011-03-21 09:23:07,2014-05-20 14:32:33
264040823489998,264040816489998,24,101300,1,Inland Census Water Unit 1,10,,45985.5,45985.5,Pixel count,206774,NLCD LANDSAT 2011 Tree Canopy Cover,2014-07-01 07:58:07,
264040824489998,264040816489998,24,101300,2,Private Unit 1,10,,1116446.3,1116446.3,Pixel count,5020109,NLCD LANDSAT 2011 Tree Canopy Cover,2014-07-01 07:58:08,
264040825489998,264040816489998,24,101300,3,Public Unit 1,10,,134400.3,134400.3,Pixel count,604332,NLCD LANDSAT 2011 Tree Canopy Cover,2014-07-01 07:58:08,
264042107489998,264040817489998,24,101301,1,Inland Census Water Unit 1,10,,45985.5,45985.5,Pixel count,206774,NLCD LANDSAT 2011 Tree Canopy Cover,2014-07-01 07:58:09,
264042108489998,264040817489998,24,101301,2,Private Unit 1,10,,1116446.3,1116446.3,Pixel count,5020109,NLCD LANDSAT 2011 Tree Canopy Cover,2014-07-01 07:58:09,
264042109489998,264040817489998,24,101301,3,Public Unit 1,10,,134400.3,134400.3,Pixel count,604332,NLCD LANDSAT 2011 Tree Canopy Cover,2014-07-01 07:58:09,
264042180489998,264040818489998,24,101303,1,Inland Census Water Unit 1,10,,45985.5,45985.5,Pixel count,206774,NLCD LANDSAT 2011 Tree Canopy Cover,2014-07-01 07:58:10,
264042181489998,264040818489998,24,101303,2,Private Unit 1,10,,1116446.3,1116446.3,Pixel count,5020109,NLCD LANDSAT 2011 Tree Canopy Cover,2014-07-01 07:58:10,
221505813020004,221505801020004,24,101203,1,Inland Census Water Unit 1,10,,45985.3,45985.3,Pixel count,206774,NLCD LANDSAT 2001 Tree Canopy Cover,2013-11-12 08:22:55,2014-05-20 14:31:55
221505814020004,221505801020004,24,101203,2,Private Unit 1,10,,1116015.4,1116015.4,Pixel count,5018171,NLCD LANDSAT 2001 Tree Canopy Cover,2013-11-12 08:22:56,2014-05-20 14:31:55
221505815020004,221505801020004,24,101203,3,Public Unit 1,10,,134831.2,134831.2,Pixel count,606270,NLCD LANDSAT 2001 Tree Canopy Cover,2013-11-12 08:22:56,2014-05-20 14:31:55
195593421010661,195593378010661,24,105111,5,Population 5,10,600049.21,0.0,600049.21,Pixel count,100000000,Simple random sample,2009-04-29 10:54:54,
195593422010661,195593378010661,24,105111,901,Population 901,10,650231.73,0.0,650231.73,Pixel count,100000000,Simple random sample,2009-04-29 10:54:54,
195593423010661,195593385010661,24,105112,5,Population 5,10,600049.21,0.0,600049.21,Pixel count,100000000,Simple random sample,2009-04-29 10:54:54,
195593424010661,195593385010661,24,105112,901,Population 901,10,650231.73,0.0,650231.73,Pixel count,100000000,Simple random sample,2009-04-29 10:54:54,
195593490010661,195593386010661,24,105221,5,Population 5,10,600049.21,0.0,600049.21,Pixel count,100000000,Simple random sample,2009-04-29 10:58:30,
195593491010661,195593386010661,24,105221,901,Population 901,10,650231.73,0.0,650231.73,Pixel count,100000000,Simple random sample,2009-04-29 10:58:30,
195593492010661,195593393010661,24,105222,5,Population 5,10,600049.21,0.0,600049.21,Pixel count,100000000,Simple random sample,2009-04-29 10:58:30,
195593493010661,195593393010661,24,105222,901,Population 901,10,650231.73,0.0,650231.73,Pixel count,100000000,Simple random sample,2009-04-29 10:58:30,
195593559010661,195593394010661,24,100600,1,CNTY/SUPER CNTY 005,10,602040.0,,602040.0,Pixel count,2707081,NLCD LANDSAT 2001 Tree Canopy Cover,2009-04-29 10:59:32,2014-05-20 14:29:52
195593560010661,195593394010661,24,100600,2,CNTY/SUPER CNTY 901,10,654643.5,,654643.5,Pixel count,2943606,NLCD LANDSAT 2001 Tree Canopy Cover,2009-04-29 10:59:32,2014-05-20 14:29:52
195593561010661,195593401010661,24,100601,1,CNTY/SUPER CNTY 005,10,602040.0,,602040.0,Pixel count,2707081,NLCD LANDSAT 2001 Tree Canopy Cover,2009-04-29 10:59:32,2014-05-20 14:29:52
195593562010661,195593401010661,24,100601,2,CNTY/SUPER CNTY 901,10,654643.5,,654643.5,Pixel count,2943606,NLCD LANDSAT 2001 Tree Canopy Cover,2009-04-29 10:59:32,2014-05-20 14:29:52
195593563010661,195593402010661,24,100602,1,CNTY/SUPER CNTY 005,10,602040.0,,602040.0,Pixel count,2707081,NLCD LANDSAT 2001 Tree Canopy Cover,2009-04-29 10:59:32,2014-05-20 14:29:52
195593564010661,195593402010661,24,100602,2,CNTY/SUPER CNTY 901,10,654643.5,,654643.5,Pixel count,2943606,NLCD LANDSAT 2001 Tree Canopy Cover,2009-04-29 10:59:32,2014-05-20 14:29:52
231112012010661,231112004010661,24,100803,1,Private Unit 1,10,1094666.1,,1094666.1,Pixel count,4922174,NLCD LANDSAT 2001 Tree Canopy Cover,2010-08-03 13:37:37,2014-05-20 14:29:14
231112013010661,231112004010661,24,100803,2,Public Unit 1,10,156180.6,,156180.6,Pixel count,702267,NLCD LANDSAT 2001 Tree Canopy Cover,2010-08-03 13:37:39,2014-05-20 14:29:14
220851570010661,220851558010661,24,100800,1,"Inland Census Water Cnty. Grp. 901, 5",10,,45982.7,45982.7,Pixel count,206762,NLCD LANDSAT 2001 Tree Canopy Cover,2009-12-02 08:56:34,2014-05-20 14:32:36
220851571010661,220851558010661,24,100800,2,Private Cnty. Grp. 5,10,,539422.5,539422.5,Pixel count,2425517,NLCD LANDSAT 2001 Tree Canopy Cover,2009-12-02 08:56:34,2014-05-20 14:32:36
220851572010661,220851558010661,24,100800,3,Private Cnty. Grp. 901,10,,555243.6,555243.6,Pixel count,2496657,NLCD LANDSAT 2001 Tree Canopy Cover,2009-12-02 08:56:34,2014-05-20 14:32:36
