CN,STRATUM_CN,PLT_CN,STATECD,INVYR,UNITCD,COUNTYCD,PLOT,RSCD,EVALID,ESTN_UNIT,STRATUMCD,CREATED_DATE,MODIFIED_DATE
74760180010538,74759930010538,65355051010538,10,2005,1,1,9,24,100600,2,5,2009-04-29 10:59:32,
74760076010538,74759926010538,65354716010538,10,2005,1,1,10,24,100600,2,1,2009-04-29 10:59:32,
74760183010538,74759930010538,60135108010538,10,2004,1,1,30,24,100600,2,5,2009-04-29 10:59:32,
74760119010538,74759926010538,60135193010538,10,2004,1,1,33,24,100600,2,1,2009-04-29 10:59:32,
74760160010538,74759929010538,60135207010538,10,2004,1,1,36,24,100600,2,4,2009-04-29 10:59:32,
74760179010538,74759930010538,73490478010538,10,2006,1,1,43,24,100600,2,5,2009-04-29 10:59:32,
74760177010538,74759930010538,60134557010538,10,2004,1,1,48,24,100600,2,5,2009-04-29 10:59:32,
74760075010538,74759926010538,65361636010538,10,2005,1,1,51,24,100600,2,1,2009-04-29 10:59:32,
74760083010538,74759926010538,73490181010538,10,2006,1,1,54,24,100600,2,1,2009-04-29 10:59:32,
74760147010538,74759928010538,65354689010538,10,2005,1,1,57,24,100600,2,3,2009-04-29 10:59:32,
74760115010538,74759926010538,60134888010538,10,2004,1,1,59,24,100600,2,1,2009-04-29 10:59:32,
74760088010538,74759926010538,73490342010538,10,2006,1,1,76,24,100600,2,1,2009-04-29 10:59:32,
74760168010538,74759930010538,65354281010538,10,2005,1,1,78,24,100600,2,5,2009-04-29 10:59:32,
74760108010538,74759926010538,65361734010538,10,2005,1,1,93,24,100600,2,1,2009-04-29 10:59:32,
74760091010538,74759926010538,65361650010538,10,2005,1,1,103,24,100600,2,1,2009-04-29 10:59:32,
74760074010538,74759926010538,73489847010538,10,2006,1,1,109,24,100600,2,1,2009-04-29 10:59:32,
74760073010538,74759926010538,73489830010538,10,2006,1,1,114,24,100600,2,1,2009-04-29 10:59:32,
74760102010538,74759926010538,65361706010538,10,2005,1,1,121,24,100600,2,1,2009-04-29 10:59:32,
74760106010538,74759926010538,60134756010538,10,2004,1,1,125,24,100600,2,1,2009-04-29 10:59:32,
74760148010538,74759928010538,60134770010538,10,2004,1,1,132,24,100600,2,3,2009-04-29 10:59:32,
74760156010538,74759929010538,65354580010538,10,2005,1,1,133,24,100600,2,4,2009-04-29 10:59:32,
74760181010538,74759930010538,73490619010538,10,2006,1,1,147,24,100600,2,5,2009-04-29 10:59:32,
74760153010538,74759929010538,65354192010538,10,2005,1,1,148,24,100600,2,4,2009-04-29 10:59:32,
