CN,ESTN_UNIT_CN,RSCD,EVALID,ESTN_UNIT,STRATUMCD,STRATUM_DESCR,STATECD,P1POINTCNT,P2POINTCNT,EXPNS,ADJ_FACTOR_MACR,ADJ_FACTOR_SUBP,ADJ_FACTOR_MICR,ADJ_FACTOR_CWD,ADJ_FACTOR_FWD_SM,ADJ_FACTOR_FWD_LG,ADJ_FACTOR_DUFF,CREATED_DATE,MODIFIED_DATE,ADJ_FACTOR_PILE,ADJ_FACTOR_REGEN_MICR,ADJ_FACTOR_INV_SUBP,ADJ_FACTOR_P2VEG_SUBP,ADJ_FACTOR_GRNDLYR_MICROQUAD,ADJ_FACTOR_SOIL
733390636290487,734080606290487,24,101900,2,3,Canopy cover 51 - 65,10,183530,14,2915.4379671372135,0.0,1.0,1.0,,,,,2020-03-24 12:28:32,2020-03-24 12:28:33,,,,,,
733390634290487,734080606290487,24,101900,2,4,Canopy cover 66 - 80,10,408957,33,2756.0588238685223,0.0,1.0,1.0,,,,,2020-03-24 12:28:32,2020-03-24 12:28:33,,,,,,
733390635290487,734080606290487,24,101900,2,5,Canopy cover 81 - 100,10,668669,63,2360.4533198298473,0.0,1.0,1.0,,,,,2020-03-24 12:28:32,2020-03-24 12:28:33,,,,,,
733390637290487,734080607290487,24,101900,3,1,Canopy cover 0 - 5,10,386930,35,2458.6092313729114,0.0,1.0,1.0,,,,,2020-03-24 12:28:33,2020-03-24 12:28:33,,,,,,
733390638290487,734080607290487,24,101900,3,5,Canopy cover 81 - 100,10,170325,14,2705.6742649419216,0.0,1.0,1.0,,,,,2020-03-24 12:28:33,2020-03-24 12:28:33,,,,,,
733390639290487,734080607290487,24,101900,3,234,Canopy cover 6 - 80,10,191267,17,2502.1668936918354,0.0,1.0,1.0,,,,,2020-03-24 12:28:33,2020-03-24 12:28:33,,,,,,
733391826290487,734080609290487,24,101901,1,12345,Canopy cover 0 - 100,10,206774,11,4180.490909090909,0.0,1.0,1.0,,,,,2020-03-24 12:28:34,2020-03-24 12:28:34,,,,,,
733391827290487,734080610290487,24,101901,2,1,Canopy cover 0 - 5,10,3103331,201,3433.6562788388615,0.0,1.005,1.005,,,,,2020-03-24 12:28:34,2020-03-24 12:28:34,,,,,,
733391828290487,734080610290487,24,101901,2,2,Canopy cover 6 - 50,10,511432,35,3249.710173615037,0.0,1.0,1.0,,,,,2020-03-24 12:28:34,2020-03-24 12:28:34,,,,,,
733391831290487,734080610290487,24,101901,2,3,Canopy cover 51 - 65,10,183530,13,3139.702426147768,0.0,1.04,1.04,,,,,2020-03-24 12:28:34,2020-03-24 12:28:34,,,,,,
733391829290487,734080610290487,24,101901,2,4,Canopy cover 66 - 80,10,408957,24,3789.5808828192185,0.0,1.0909090909090908,1.0909090909090908,,,,,2020-03-24 12:28:34,2020-03-24 12:28:34,,,,,,
733391830290487,734080610290487,24,101901,2,5,Canopy cover 81 - 100,10,668669,47,3164.0118967931994,0.0,1.0386740331491713,1.0386740331491713,,,,,2020-03-24 12:28:34,2020-03-24 12:28:34,,,,,,
733391832290487,734080611290487,24,101901,3,1,Canopy cover 0 - 5,10,386930,35,2458.6092313729114,0.0,1.0071942446043165,1.0071942446043165,,,,,2020-03-24 12:28:34,2020-03-24 12:28:34,,,,,,
733391833290487,734080611290487,24,101901,3,5,Canopy cover 81 - 100,10,170325,14,2705.6742649419216,0.0,1.0,1.0,,,,,2020-03-24 12:28:34,2020-03-24 12:28:34,,,,,,
733391834290487,734080611290487,24,101901,3,234,Canopy cover 6 - 80,10,191267,17,2502.1668936918354,0.0,1.0149253731343284,1.0149253731343284,,,,,2020-03-24 12:28:34,2020-03-24 12:28:34,,,,,,
733393003290487,734080708290487,24,101903,1,12345,Canopy cover 0 - 100,10,206774,11,4180.490909090909,0.0,1.0,1.0,,,,,2020-03-24 12:28:34,2020-03-24 12:28:37,,,,,,
733393004290487,734080709290487,24,101903,2,1,Canopy cover 0 - 5,10,3103331,197,3503.3751880538634,0.0,1.0063856960408684,1.0063856960408684,,,,,2020-03-24 12:28:34,2020-03-24 12:28:37,,,,,,
733393005290487,734080709290487,24,101903,2,2,Canopy cover 6 - 50,10,511432,33,3446.6623053492817,0.0,1.0,1.0,,,,,2020-03-24 12:28:34,2020-03-24 12:28:37,,,,,,
733393008290487,734080709290487,24,101903,2,3,Canopy cover 51 - 65,10,183530,12,3401.3442949934156,0.0,1.0434782608695652,1.0434782608695652,,,,,2020-03-24 12:28:34,2020-03-24 12:28:37,,,,,,
733393006290487,734080709290487,24,101903,2,4,Canopy cover 66 - 80,10,408957,15,6063.3294125107495,0.0,1.03448269916776,1.0344827586206897,,,,,2020-03-24 12:28:34,2020-03-24 12:28:37,,,,,,
733393007290487,734080709290487,24,101903,2,5,Canopy cover 81 - 100,10,668669,41,3627.0380280312284,0.0,1.025,1.025,,,,,2020-03-24 12:28:34,2020-03-24 12:28:37,,,,,,
733393009290487,734080710290487,24,101903,3,1,Canopy cover 0 - 5,10,386930,35,2458.6092313729114,0.0,1.0071942446043165,1.0071942446043165,,,,,2020-03-24 12:28:35,2020-03-24 12:28:37,,,,,,
