CN,STATECD,INVYR,UNITCD,COUNTYCD,PLOT,LAT,LON,CONGCD,ECOSUBCD,HUC,EMAP_HEX,FIPSCOUNTY,ROADLESSCD,CREATED_DATE,MODIFIED_DATE,ALP_ADFORCD,FVS_VARIANT,FVS_LOC_CD,FVS_REGION,FVS_FOREST,FVS_DISTRICT,ECO_UNIT_PNW,PRECIPITATION
10178896010661,44.0,1985.0,1.0,1.0,1.0,41.69455,-71.27727,4401.0,221Ac,1090004.0,937.0,44001.0,,2024-05-23 08:38:55,2024-05-23 08:38:55,,NE,922,9,22,,,
10178916010661,44.0,1985.0,1.0,1.0,2.0,41.66677,-71.24949,4401.0,221Ac,1090004.0,832.0,44001.0,,2024-05-23 08:38:55,2024-05-23 08:38:55,,NE,922,9,22,,,
10178942010661,44.0,1985.0,1.0,1.0,3.0,41.66677,-71.24949,4401.0,221Ac,1090004.0,832.0,44001.0,,2024-05-23 08:38:55,2024-05-23 08:38:55,,NE,922,9,22,,,
10178944010661,44.0,1985.0,1.0,1.0,4.0,41.72232,-71.24949,4401.0,221Ac,1090004.0,937.0,44001.0,,2024-05-23 08:38:55,2024-05-23 08:38:55,,NE,922,9,22,,,
10178986010661,44.0,1985.0,1.0,1.0,5.0,41.72232,-71.24949,4401.0,221Ac,1090004.0,937.0,44001.0,,2024-05-23 08:38:55,2024-05-23 08:38:55,,NE,922,9,22,,,
10178988010661,44.0,1985.0,1.0,1.0,6.0,41.7501,-71.24949,4401.0,221Ac,1090004.0,937.0,25005.0,,2024-05-23 08:38:55,2024-05-23 08:38:55,,NE,922,9,22,,,
10178990010661,44.0,1985.0,1.0,1.0,7.0,41.7501,-71.27727,4401.0,221Ac,1090004.0,937.0,44001.0,,2024-05-23 08:38:55,2024-05-23 08:38:55,,NE,922,9,22,,,
10178992010661,44.0,1985.0,1.0,1.0,8.0,41.7501,-71.30505,4401.0,221Ac,1090004.0,937.0,44001.0,,2024-05-23 08:38:55,2024-05-23 08:38:55,,NE,922,9,22,,,
10179020010661,44.0,1985.0,1.0,1.0,9.0,41.66677,-71.30505,4401.0,221Ac,1090004.0,938.0,44001.0,,2024-05-23 08:38:55,2024-05-23 08:38:55,,NE,922,9,22,,,
10179022010661,44.0,1985.0,1.0,1.0,12.0,41.69455,-71.27727,4401.0,221Ac,1090004.0,937.0,44001.0,,2024-05-23 08:38:55,2024-05-23 08:38:55,,NE,922,9,22,,,
10179024010661,44.0,1985.0,1.0,1.0,13.0,41.69455,-71.22171,4401.0,221Ac,1090004.0,832.0,,,2024-05-23 08:38:55,2024-05-23 08:38:55,,NE,922,9,22,,,
10179026010661,44.0,1985.0,1.0,1.0,899.0,41.709348,-71.295047,4401.0,221Ac,1090004.0,937.0,,,2024-05-23 08:38:55,2024-05-23 08:38:55,,NE,922,9,22,,,
10179028010661,44.0,1985.0,1.0,3.0,1.0,41.63899,-71.44395,4402.0,221Ac,1090004.0,938.0,44009.0,,2024-05-23 08:39:16,2024-05-23 08:39:16,,NE,922,9,22,,,
10179030010661,44.0,1985.0,1.0,3.0,2.0,41.66677,-71.58284,4402.0,221Ag,1090004.0,938.0,44003.0,,2024-05-23 08:39:16,2024-05-23 08:39:16,,NE,922,9,22,,,
10179065010661,44.0,1985.0,1.0,3.0,3.0,41.69454,-71.52728,4402.0,221Ag,1090004.0,938.0,44003.0,,2024-05-23 08:39:16,2024-05-23 08:39:16,,NE,922,9,22,,,
10179067010661,44.0,1985.0,1.0,3.0,4.0,41.72232,-71.58284,4402.0,221Ag,1090004.0,1044.0,44003.0,,2024-05-23 08:39:16,2024-05-23 08:39:16,,NE,922,9,22,,,
10179069010661,44.0,1985.0,1.0,3.0,5.0,41.63899,-71.52728,4402.0,221Ag,1090004.0,938.0,44003.0,,2024-05-23 08:39:16,2024-05-23 08:39:16,,NE,922,9,22,,,
10179088010661,44.0,1985.0,1.0,3.0,6.0,41.63899,-71.58284,4402.0,221Ag,1090004.0,938.0,44003.0,,2024-05-23 08:39:16,2024-05-23 08:39:16,,NE,922,9,22,,,
10179113010661,44.0,1985.0,1.0,3.0,7.0,41.66677,-71.61062,4402.0,221Ag,1090004.0,1044.0,44003.0,,2024-05-23 08:39:16,2024-05-23 08:39:16,,NE,922,9,22,,,
10179134010661,44.0,1985.0,1.0,3.0,8.0,41.69454,-71.66618,4402.0,221Ag,1090004.0,1044.0,44003.0,,2024-05-23 08:39:16,2024-05-23 08:39:16,,NE,922,9,22,,,
10179161010661,44.0,1985.0,1.0,3.0,9.0,41.72232,-71.66618,4402.0,221Ag,1090004.0,1044.0,44003.0,,2024-05-23 08:39:16,2024-05-23 08:39:16,,NE,922,9,22,,,
10179163010661,44.0,1985.0,1.0,3.0,10.0,41.66677,-71.69396,4402.0,221Ag,1090004.0,1045.0,44003.0,,2024-05-23 08:39:16,2024-05-23 08:39:16,,NE,922,9,22,,,
10179195010661,44.0,1985.0,1.0,3.0,11.0,41.63899,-71.69396,4402.0,221Ag,1090005.0,1045.0,44003.0,,2024-05-23 08:39:16,2024-05-23 08:39:16,,NE,922,9,22,,,
10179197010661,44.0,1985.0,1.0,3.0,12.0,41.61121,-71.69396,4402.0,221Ag,1090005.0,1045.0,44003.0,,2024-05-23 08:39:16,2024-05-23 08:39:16,,NE,922,9,22,,,
10179225010661,44.0,1985.0,1.0,3.0,13.0,41.63899,-71.74951,4402.0,221Ag,1090005.0,1045.0,44003.0,,2024-05-23 08:39:16,2024-05-23 08:39:16,,NE,922,9,22,,,
10179245010661,44.0,1985.0,1.0,3.0,14.0,41.66677,-71.72173,4402.0,221Ag,1100001.0,1045.0,44003.0,,2024-05-23 08:39:16,2024-05-23 08:39:16,,NE,922,9,22,,,
10179270010661,44.0,1985.0,1.0,3.0,15.0,41.69454,-71.72173,4402.0,221Ag,1100001.0,1045.0,44003.0,,2024-05-23 08:39:16,2024-05-23 08:39:16,,NE,922,9,22,,,
10179293010661,44.0,1985.0,1.0,3.0,16.0,41.63899,-71.74951,4402.0,221Ag,1090005.0,1045.0,44003.0,,2024-05-23 08:39:16,2024-05-23 08:39:16,,NE,922,9,22,,,
10179309010661,44.0,1985.0,1.0,3.0,36.0,41.69454,-71.74951,4402.0,221Ag,1100001.0,1045.0,44003.0,,2024-05-23 08:39:16,2024-05-23 08:39:16,,NE,922,9,22,,,
10179361010661,44.0,1985.0,1.0,3.0,37.0,41.61121,-71.72173,4402.0,221Ag,1090005.0,1045.0,44003.0,,2024-05-23 08:39:16,2024-05-23 08:39:16,,NE,922,9,22,,,
10179363010661,44.0,1985.0,1.0,3.0,38.0,41.61121,-71.74951,4402.0,221Ag,1090005.0,1045.0,44003.0,,2024-05-23 08:39:16,2024-05-23 08:39:16,,NE,922,9,22,,,
10179406010661,44.0,1985.0,1.0,3.0,39.0,41.72232,-71.69396,4402.0,221Ag,1090004.0,1044.0,44003.0,,2024-05-23 08:39:16,2024-05-23 08:39:16,,NE,922,9,22,,,
10179423010661,44.0,1985.0,1.0,3.0,40.0,41.69454,-71.72173,4402.0,221Ag,1100001.0,1045.0,44003.0,,2024-05-23 08:39:16,2024-05-23 08:39:16,,NE,922,9,22,,,
10179462010661,44.0,1985.0,1.0,3.0,41.0,41.72232,-71.6384,4402.0,221Ag,1090004.0,1044.0,44003.0,,2024-05-23 08:39:16,2024-05-23 08:39:16,,NE,922,9,22,,,
10179464010661,44.0,1985.0,1.0,3.0,42.0,41.63899,-71.66618,4402.0,221Ag,1090004.0,1045.0,44003.0,,2024-05-23 08:39:16,2024-05-23 08:39:16,,NE,922,9,22,,,
10179466010661,44.0,1985.0,1.0,3.0,43.0,41.63899,-71.6384,4402.0,221Ag,1090004.0,1045.0,44003.0,,2024-05-23 08:39:16,2024-05-23 08:39:16,,NE,922,9,22,,,
10179468010661,44.0,1985.0,1.0,3.0,44.0,41.72232,-71.61062,4402.0,221Ag,1090004.0,1044.0,44003.0,,2024-05-23 08:39:16,2024-05-23 08:39:16,,NE,922,9,22,,,
10179496010661,44.0,1985.0,1.0,3.0,45.0,41.63899,-71.61062,4402.0,221Ag,1090004.0,1045.0,44003.0,,2024-05-23 08:39:16,2024-05-23 08:39:16,,NE,922,9,22,,,
10179521010661,44.0,1985.0,1.0,3.0,46.0,41.69454,-71.58284,4402.0,221Ag,1090004.0,1044.0,44003.0,,2024-05-23 08:39:16,2024-05-23 08:39:16,,NE,922,9,22,,,
10179551010661,44.0,1985.0,1.0,3.0,47.0,41.63899,-71.55506,4402.0,221Ag,1090004.0,938.0,44003.0,,2024-05-23 08:39:16,2024-05-23 08:39:16,,NE,922,9,22,,,
10179601010661,44.0,1985.0,1.0,3.0,48.0,41.61121,-71.55506,4402.0,221Ag,1090005.0,938.0,44003.0,,2024-05-23 08:39:16,2024-05-23 08:39:16,,NE,922,9,22,,,
10179643010661,44.0,1985.0,1.0,3.0,49.0,41.72232,-71.44395,4402.0,221Ac,1090004.0,938.0,44003.0,,2024-05-23 08:39:16,2024-05-23 08:39:16,,NE,922,9,22,,,
10179645010661,44.0,1985.0,1.0,3.0,50.0,41.69455,-71.41617,4402.0,221Ac,1090004.0,938.0,44003.0,,2024-05-23 08:39:16,2024-05-23 08:39:16,,NE,922,9,22,,,
10179647010661,44.0,1985.0,1.0,3.0,51.0,41.72232,-71.38839,4402.0,221Ac,1090004.0,937.0,44003.0,,2024-05-23 08:39:16,2024-05-23 08:39:16,,NE,922,9,22,,,
10179649010661,44.0,1985.0,1.0,3.0,899.0,41.682455,-71.571472,4402.0,221Ag,1090004.0,1044.0,44003.0,,2024-05-23 08:39:16,2024-05-23 08:39:16,,NE,922,9,22,,,
10179651010661,44.0,1985.0,1.0,3.0,999.0,41.682455,-71.571472,4402.0,221Ag,1090004.0,1044.0,44003.0,,2024-05-23 08:39:16,2024-05-23 08:39:16,,NE,922,9,22,,,
10179653010661,44.0,1985.0,1.0,5.0,1.0,41.44455,-71.38839,4401.0,221Ac,,833.0,,,2024-05-23 08:39:34,2024-05-23 08:39:34,,NE,922,9,22,,,
10179661010661,44.0,1985.0,1.0,5.0,2.0,41.58344,-71.27727,4401.0,221Ac,1090004.0,938.0,44005.0,,2024-05-23 08:39:34,2024-05-23 08:39:34,,NE,922,9,22,,,
10179663010661,44.0,1985.0,1.0,5.0,3.0,41.58344,-71.30505,4401.0,221Ac,1090004.0,938.0,,,2024-05-23 08:39:34,2024-05-23 08:39:34,,NE,922,9,22,,,
10179665010661,44.0,1985.0,1.0,5.0,4.0,41.52788,-71.19393,4401.0,221Ac,1090004.0,832.0,44005.0,,2024-05-23 08:39:34,2024-05-23 08:39:34,,NE,922,9,22,,,
10179667010661,44.0,1985.0,1.0,5.0,5.0,41.58344,-71.19393,4401.0,221Ac,1090004.0,832.0,44005.0,,2024-05-23 08:39:34,2024-05-23 08:39:34,,NE,922,9,22,,,
10179693010661,44.0,1985.0,1.0,5.0,6.0,41.55566,-71.13838,4401.0,221Ac,1090002.0,832.0,44005.0,,2024-05-23 08:39:34,2024-05-23 08:39:34,,NE,922,9,22,,,
10179710010661,44.0,1985.0,1.0,5.0,7.0,41.58344,-71.13838,4401.0,221Ac,1090002.0,832.0,44005.0,,2024-05-23 08:39:34,2024-05-23 08:39:34,,NE,922,9,22,,,
10179738010661,44.0,1985.0,1.0,5.0,8.0,41.61121,-71.16616,4401.0,221Ac,1090002.0,832.0,44005.0,,2024-05-23 08:39:34,2024-05-23 08:39:34,,NE,922,9,22,,,
10179764010661,44.0,1985.0,1.0,5.0,9.0,41.58344,-71.16616,4401.0,221Ac,1090004.0,832.0,44005.0,,2024-05-23 08:39:34,2024-05-23 08:39:34,,NE,922,9,22,,,
10179791010661,44.0,1985.0,1.0,5.0,10.0,41.55566,-71.16616,4401.0,221Ac,1090004.0,832.0,44005.0,,2024-05-23 08:39:34,2024-05-23 08:39:34,,NE,922,9,22,,,
10179810010661,44.0,1985.0,1.0,5.0,23.0,41.55566,-71.27727,4401.0,221Ac,1090004.0,938.0,44005.0,,2024-05-23 08:39:34,2024-05-23 08:39:34,,NE,922,9,22,,,
10179812010661,44.0,1985.0,1.0,5.0,24.0,41.47232,-71.30505,4401.0,221Ac,1090004.0,833.0,44005.0,,2024-05-23 08:39:34,2024-05-23 08:39:34,,NE,922,9,22,,,
10179814010661,44.0,1985.0,1.0,5.0,25.0,41.47233,-71.24949,4401.0,221Ac,,833.0,44005.0,,2024-05-23 08:39:34,2024-05-23 08:39:34,,NE,922,9,22,,,
10179816010661,44.0,1985.0,1.0,5.0,26.0,41.58344,-71.19393,4401.0,221Ac,1090004.0,832.0,44005.0,,2024-05-23 08:39:34,2024-05-23 08:39:34,,NE,922,9,22,,,
10179818010661,44.0,1985.0,1.0,5.0,27.0,41.55566,-71.16616,4401.0,221Ac,1090004.0,832.0,44005.0,,2024-05-23 08:39:34,2024-05-23 08:39:34,,NE,922,9,22,,,
10179849010661,44.0,1985.0,1.0,5.0,28.0,41.55566,-71.19393,4401.0,221Ac,1090004.0,832.0,44005.0,,2024-05-23 08:39:34,2024-05-23 08:39:34,,NE,922,9,22,,,
10179851010661,44.0,1985.0,1.0,5.0,30.0,41.58344,-71.13838,4401.0,221Ac,1090002.0,832.0,44005.0,,2024-05-23 08:39:34,2024-05-23 08:39:34,,NE,922,9,22,,,
10179853010661,44.0,1985.0,1.0,5.0,31.0,41.58344,-71.16616,4401.0,221Ac,1090004.0,832.0,44005.0,,2024-05-23 08:39:34,2024-05-23 08:39:34,,NE,922,9,22,,,
10179884010661,44.0,1985.0,1.0,7.0,1.0,42.0001,-71.41617,4401.0,221Ag,1090003.0,1043.0,44007.0,,2024-05-23 08:40:15,2024-05-23 08:40:15,,NE,922,9,22,,,
10179902010661,44.0,1985.0,1.0,7.0,2.0,41.94454,-71.44395,4401.0,221Ag,1090003.0,1043.0,44007.0,,2024-05-23 08:40:15,2024-05-23 08:40:15,,NE,922,9,22,,,
10179904010661,44.0,1985.0,1.0,7.0,3.0,42.0001,-71.47173,4401.0,221Ag,1090003.0,1043.0,44007.0,,2024-05-23 08:40:15,2024-05-23 08:40:15,,NE,922,9,22,,,
10179923010661,44.0,1985.0,1.0,7.0,4.0,42.0001,-71.47173,4401.0,221Ag,1090003.0,1043.0,44007.0,,2024-05-23 08:40:15,2024-05-23 08:40:15,,NE,922,9,22,,,
10179925010661,44.0,1985.0,1.0,7.0,5.0,41.80566,-71.4995,4402.0,221Ac,1090004.0,1044.0,44007.0,,2024-05-23 08:40:15,2024-05-23 08:40:15,,NE,922,9,22,,,
10179961010661,44.0,1985.0,1.0,7.0,6.0,41.77788,-71.47173,4402.0,221Ac,1090004.0,1044.0,44007.0,,2024-05-23 08:40:15,2024-05-23 08:40:15,,NE,922,9,22,,,
10179963010661,44.0,1985.0,1.0,7.0,7.0,41.77788,-71.52728,4402.0,221Ag,1090004.0,1044.0,44007.0,,2024-05-23 08:40:15,2024-05-23 08:40:15,,NE,922,9,22,,,
10179965010661,44.0,1985.0,1.0,7.0,8.0,41.94454,-71.52728,4401.0,221Ag,1090003.0,1043.0,44007.0,,2024-05-23 08:40:15,2024-05-23 08:40:15,,NE,922,9,22,,,
10180004010661,44.0,1985.0,1.0,7.0,9.0,41.83343,-71.55506,4402.0,221Ag,1090004.0,1044.0,44007.0,,2024-05-23 08:40:15,2024-05-23 08:40:15,,NE,922,9,22,,,
10180031010661,44.0,1985.0,1.0,7.0,10.0,41.83343,-71.55506,4402.0,221Ag,1090004.0,1044.0,44007.0,,2024-05-23 08:40:15,2024-05-23 08:40:15,,NE,922,9,22,,,
10180033010661,44.0,1985.0,1.0,7.0,11.0,41.7501,-71.55506,4402.0,221Ag,1090004.0,1044.0,44007.0,,2024-05-23 08:40:15,2024-05-23 08:40:15,,NE,922,9,22,,,
10180073010661,44.0,1985.0,1.0,7.0,12.0,41.80566,-71.61062,4402.0,221Ag,1090004.0,1044.0,44007.0,,2024-05-23 08:40:15,2024-05-23 08:40:15,,NE,922,9,22,,,
