CN,ESTN_UNIT_CN,RSCD,EVALID,ESTN_UNIT,STRATUMCD,STRATUM_DESCR,STATECD,P1POINTCNT,P2POINTCNT,EXPNS,ADJ_FACTOR_MACR,ADJ_FACTOR_SUBP,ADJ_FACTOR_MICR,ADJ_FACTOR_CWD,ADJ_FACTOR_FWD_SM,ADJ_FACTOR_FWD_LG,ADJ_FACTOR_DUFF,CREATED_DATE,MODIFIED_DATE,ADJ_FACTOR_PILE,ADJ_FACTOR_REGEN_MICR,ADJ_FACTOR_INV_SUBP,ADJ_FACTOR_P2VEG_SUBP,ADJ_FACTOR_GRNDLYR_MICROQUAD,ADJ_FACTOR_SOIL
524449805038,107116903010661,24,449805,5,38,DUMMY ONE PER EXP,44,74,4,3718.0,0.0,1.0,1.0,,,,,2007-09-21 10:15:17,2007-09-21 10:15:17,,,,,,
263336830489998,263458114489998,24,441301,1,12345,Canopy cover 0 - 100,44,502997,25,4474.552,0.0,1.0,1.0,,,,,2014-06-30 07:49:57,2014-06-30 07:49:57,,,,,,
263336831489998,263458115489998,24,441301,2,1,Canopy cover 0 - 5,44,376307,28,2988.8846296696943,0.0,1.009009009009009,1.009009009009009,,,,,2014-06-30 07:49:57,2014-06-30 07:49:57,,,,,,
263336832489998,263458115489998,24,441301,2,2,Canopy cover 6 - 50,44,658425,54,2711.6737596798434,0.0,1.0046511627906978,1.0046511627906978,,,,,2014-06-30 07:49:57,2014-06-30 07:49:57,,,,,,
263336835489998,263458115489998,24,441301,2,3,Canopy cover 51 - 65,44,206310,15,3058.8198930696353,0.0,1.1320754716981132,1.1320754716981132,,,,,2014-06-30 07:49:57,2014-06-30 07:49:57,,,,,,
263336833489998,263458115489998,24,441301,2,4,Canopy cover 66 - 80,44,371471,19,4348.066723167502,0.0,1.0133333333333334,1.0133333333333334,,,,,2014-06-30 07:49:57,2014-06-30 07:49:57,,,,,,
263336834489998,263458115489998,24,441301,2,5,Canopy cover 81 - 100,44,943543,49,4282.432269598162,0.0,1.0315789473684212,1.0315789473684212,,,,,2014-06-30 07:49:57,2014-06-30 07:49:57,,,,,,
263336837489998,263458116489998,24,441301,3,5,Canopy cover 81 - 100,44,296837,22,3000.682884778052,0.0,1.0,1.0,,,,,2014-06-30 07:49:57,2014-06-30 07:49:57,,,,,,
263336836489998,263458116489998,24,441301,3,1234,Canopy cover 0 - 80,44,160250,10,3563.8776534882854,0.0,1.0256410256410255,1.0256410256410255,,,,,2014-06-30 07:49:57,2014-06-30 07:49:57,,,,,,
263337060489998,263458187489998,24,441303,1,12345,Canopy cover 0 - 100,44,502997,25,4474.552,0.0,1.0,1.0,,,,,2014-06-30 07:49:57,2014-06-30 07:49:57,,,,,,
263337061489998,263458188489998,24,441303,2,1,Canopy cover 0 - 5,44,376307,26,3218.7988319519786,0.0,1.0097087378640777,1.0097087378640777,,,,,2014-06-30 07:49:57,2014-06-30 07:49:57,,,,,,
263337062489998,263458188489998,24,441303,2,2,Canopy cover 6 - 50,44,658425,53,2762.8374155228594,0.0,1.0143540601176746,1.014354066985646,,,,,2014-06-30 07:49:57,2014-06-30 07:49:58,,,,,,
263337065489998,263458188489998,24,441303,2,3,Canopy cover 51 - 65,44,206310,12,3823.5248663370444,0.0,1.2,1.2,,,,,2014-06-30 07:49:58,2014-06-30 07:49:58,,,,,,
263337063489998,263458188489998,24,441303,2,4,Canopy cover 66 - 80,44,371471,16,5163.329233761408,0.0,1.0,1.0,,,,,2014-06-30 07:49:58,2014-06-30 07:49:58,,,,,,
263337064489998,263458188489998,24,441303,2,5,Canopy cover 81 - 100,44,943543,38,5522.083716060788,0.0,1.034013605442177,1.034013605442177,,,,,2014-06-30 07:49:58,2014-06-30 07:49:58,,,,,,
263337066489998,263458189489998,24,441303,3,12345,Canopy cover 0 - 100,44,457087,31,3279.1548387096773,0.0,1.0,1.0,,,,,2014-06-30 07:49:58,2014-06-30 07:49:58,,,,,,
309640934489998,309735523489998,24,441400,1,12345,Canopy cover 0 - 100,44,502997,26,4302.453846153846,0.0,1.0,1.0,,,,,2015-03-03 11:55:33,2015-03-03 11:55:34,,,,,,
309640935489998,309735524489998,24,441400,2,1,Canopy cover 0 - 5,44,376307,28,2988.8846296696943,0.0,1.0,1.0,,,,,2015-03-03 11:55:34,2015-03-03 11:55:34,,,,,,
309640936489998,309735524489998,24,441400,2,2,Canopy cover 6 - 50,44,658425,60,2440.506383711859,0.0,1.0,1.0,,,,,2015-03-03 11:55:34,2015-03-03 11:55:34,,,,,,
309640939489998,309735524489998,24,441400,2,3,Canopy cover 51 - 65,44,206310,18,2549.0165775580294,0.0,1.0,1.0,,,,,2015-03-03 11:55:34,2015-03-03 11:55:34,,,,,,
309640937489998,309735524489998,24,441400,2,4,Canopy cover 66 - 80,44,371471,26,3177.433374622405,0.0,1.0,1.0,,,,,2015-03-03 11:55:34,2015-03-03 11:55:34,,,,,,
309640938489998,309735524489998,24,441400,2,5,Canopy cover 81 - 100,44,943543,69,3041.147553772608,0.0,1.0,1.0,,,,,2015-03-03 11:55:34,2015-03-03 11:55:34,,,,,,
309640940489998,309735525489998,24,441400,3,12345,Canopy cover 0 - 100,44,457087,32,3176.68125,0.0,1.0,1.0,,,,,2015-03-03 11:55:34,2015-03-03 11:55:34,,,,,,
309641309489998,309735527489998,24,441401,1,12345,Canopy cover 0 - 100,44,502997,26,4302.453846153846,0.0,1.0,1.0,,,,,2015-03-03 11:55:35,2015-03-03 11:55:35,,,,,,
309641310489998,309735528489998,24,441401,2,1,Canopy cover 0 - 5,44,376307,28,2988.8846296696943,0.0,1.009009009009009,1.009009009009009,,,,,2015-03-03 11:55:35,2015-03-03 11:55:35,,,,,,
309641311489998,309735528489998,24,441401,2,2,Canopy cover 6 - 50,44,658425,54,2711.6737596798434,0.0,1.0,1.0,,,,,2015-03-03 11:55:35,2015-03-03 11:55:35,,,,,,
309641314489998,309735528489998,24,441401,2,3,Canopy cover 51 - 65,44,206310,14,3277.3070282888953,0.0,1.1428571428571428,1.1428571428571428,,,,,2015-03-03 11:55:35,2015-03-03 11:55:35,,,,,,
309641312489998,309735528489998,24,441401,2,4,Canopy cover 66 - 80,44,371471,19,4348.066723167502,0.0,1.0133333333333334,1.0133333333333334,,,,,2015-03-03 11:55:35,2015-03-03 11:55:35,,,,,,
309641313489998,309735528489998,24,441401,2,5,Canopy cover 81 - 100,44,943543,50,4196.7836242061985,0.0,1.0309278350515463,1.0309278350515463,,,,,2015-03-03 11:55:35,2015-03-03 11:55:35,,,,,,
309641315489998,309735529489998,24,441401,3,12345,Canopy cover 0 - 100,44,457087,31,3279.1548387096773,0.0,1.0,1.0,,,,,2015-03-03 11:55:35,2015-03-03 11:55:35,,,,,,
309642196489998,309735604489998,24,441403,1,12345,Canopy cover 0 - 100,44,502997,25,4474.552,0.0,1.0,1.0,,,,,2015-03-03 11:55:36,2015-03-03 11:55:37,,,,,,
309642197489998,309735605489998,24,441403,2,1,Canopy cover 0 - 5,44,376307,28,2988.8846296696943,0.0,1.009009009009009,1.009009009009009,,,,,2015-03-03 11:55:37,2015-03-03 11:55:37,,,,,,
309642198489998,309735605489998,24,441403,2,2,Canopy cover 6 - 50,44,658425,52,2815.9689042829145,0.0,1.0097087331511003,1.0097087378640777,,,,,2015-03-03 11:55:37,2015-03-03 11:55:38,,,,,,
309642201489998,309735605489998,24,441403,2,3,Canopy cover 51 - 65,44,206310,11,4171.118036004048,0.0,1.2222222222222223,1.2222222222222223,,,,,2015-03-03 11:55:38,2015-03-03 11:55:38,,,,,,
309642199489998,309735605489998,24,441403,2,4,Canopy cover 66 - 80,44,371471,15,5507.551182678835,0.0,1.0,1.0,,,,,2015-03-03 11:55:38,2015-03-03 11:55:38,,,,,,
309642200489998,309735605489998,24,441403,2,5,Canopy cover 81 - 100,44,943543,38,5522.083716060788,0.0,1.034013605442177,1.034013605442177,,,,,2015-03-03 11:55:38,2015-03-03 11:55:38,,,,,,
309642202489998,309735606489998,24,441403,3,12345,Canopy cover 0 - 100,44,457087,31,3279.1548387096773,0.0,1.0,1.0,,,,,2015-03-03 11:55:38,2015-03-03 11:55:38,,,,,,
309661831489998,309735645489998,24,441408,1,12,Canopy cover 0 - 100,44,502997,2,55932.0,0.0,1.0,1.0,,,,,2015-03-03 11:55:39,2025-01-15 13:10:49,,1.0,,,,
309661832489998,309735646489998,24,441408,2,12,Canopy cover 0 - 100,44,3013143,9,74456.4,0.0,1.0285714285714285,1.0285714285714285,,,,,2015-03-03 11:55:39,2025-01-15 13:10:49,,1.2857142857142858,,,,
31495177020004,31495874020004,24,441100,1,12345,Canopy cover 0 - 100,44,502997,25,4474.556,0.0,1.0,1.0,,,,,2012-03-26 07:55:34,2012-03-26 07:55:37,,,,,,
31495178020004,31495875020004,24,441100,2,1,Canopy cover 0 - 5,44,947799,83,2539.587049838626,0.0,1.0,1.0,,,,,2012-03-26 07:55:37,2012-03-26 07:55:38,,,,,,
31495179020004,31495875020004,24,441100,2,4,Canopy cover 66 - 80,44,245473,21,2599.6171031871927,0.0,1.0,1.0,,,,,2012-03-26 07:55:38,2012-03-26 07:55:38,,,,,,
31495180020004,31495875020004,24,441100,2,5,Canopy cover 81 - 100,44,1157503,81,3178.05973841483,0.0,1.0,1.0,,,,,2012-03-26 07:55:38,2012-03-26 07:55:39,,,,,,
31495181020004,31495875020004,24,441100,2,23,Canopy cover 6 - 65,44,274842,17,3595.498640285984,0.0,1.0,1.0,,,,,2012-03-26 07:55:39,2012-03-26 07:55:39,,,,,,
31495182020004,31495876020004,24,441100,3,12345,Canopy cover 0 - 100,44,387228,31,2777.9870967741936,0.0,1.0,1.0,,,,,2012-03-26 07:55:39,2012-03-26 07:55:40,,,,,,
31495442020004,31495878020004,24,441101,1,12345,Canopy cover 0 - 100,44,502997,25,4474.556,0.0,1.0,1.0,,,,,2012-03-26 07:57:21,2012-03-26 07:57:24,,,,,,
31495443020004,31495879020004,24,441101,2,1,Canopy cover 0 - 5,44,947799,81,2602.2929029210613,0.0,1.0220820189274449,1.0220820189274449,,,,,2012-03-26 07:57:24,2012-03-26 07:57:24,,,,,,
31495444020004,31495879020004,24,441101,2,4,Canopy cover 66 - 80,44,245473,13,4199.381474379312,0.0,1.0196078431372548,1.0196078431372548,,,,,2012-03-26 07:57:24,2012-03-26 07:57:24,,,,,,
31495445020004,31495879020004,24,441101,2,5,Canopy cover 81 - 100,44,1157503,64,4022.231856431269,0.0,1.0199203187250996,1.0199203187250996,,,,,2012-03-26 07:57:24,2012-03-26 07:57:25,,,,,,
31495446020004,31495879020004,24,441101,2,23,Canopy cover 6 - 65,44,274842,14,4365.962634632981,0.0,1.0769230769230769,1.0769230769230769,,,,,2012-03-26 07:57:25,2012-03-26 07:57:25,,,,,,
31495447020004,31495880020004,24,441101,3,12345,Canopy cover 0 - 100,44,387228,31,2777.9870967741936,0.0,1.008130081300813,1.008130081300813,,,,,2012-03-26 07:57:25,2012-03-26 07:57:26,,,,,,
31495677020004,31495951020004,24,441103,1,12345,Canopy cover 0 - 100,44,502997,21,5326.852380952381,0.0,1.0,1.0,,,,,2012-03-26 07:58:28,2012-03-26 07:58:33,,,,,,
31495678020004,31495952020004,24,441103,2,1,Canopy cover 0 - 5,44,947799,56,3764.0308060108214,0.0,1.018181818181818,1.018181818181818,,,,,2012-03-26 07:58:33,2012-03-26 07:58:34,,,,,,
31495679020004,31495952020004,24,441103,2,5,Canopy cover 81 - 100,44,1157503,45,5720.507529146694,0.0,1.0227272727272727,1.0227272727272727,,,,,2012-03-26 07:58:34,2012-03-26 07:58:35,,,,,,
31495680020004,31495952020004,24,441103,2,234,Canopy cover 6 - 80,44,520315,19,6090.286107989094,0.0,1.0555554783951688,1.0555555555555556,,,,,2012-03-26 07:58:35,2012-03-26 07:58:36,,,,,,
31495681020004,31495953020004,24,441103,3,12345,Canopy cover 0 - 100,44,387228,22,3914.4363636363637,0.0,1.0,1.0,,,,,2012-03-26 07:58:36,2012-03-26 07:58:37,,,,,,
389120334489998,389217546489998,24,441507,1,12,Canopy cover 0 - 100,44,502997,3,37288.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2016-06-03 06:40:18,2025-01-10 13:06:22,1.0,,,,,
